exam_title,topic_slug,type,text,options_json,answer,explanation,difficulty,tags
Soft Skills Mastery — Mock 15,aptitude,mcq,"Find the average of [88, 52, 47, 66, 50, 14].","[""51"",""55"",""57"",""53""]",53,Average = sum/count.,mixed,"average,aptitude"
Soft Skills Mastery — Mock 15,aptitude,mcq,"Find the average of [32, 24, 35, 68].","[""44"",""40"",""42"",""38""]",40,Average = sum/count.,mixed,"average,aptitude"
Soft Skills Mastery — Mock 15,aptitude,mcq,What is 10% of 204?,"[""20"",""25"",""15"",""30""]",20,10% of 204 = (10/100)×204 = 20.,mixed,"percentage,aptitude"
Soft Skills Mastery — Mock 15,aptitude,mcq,"In ratio 3:4, what is A's share out of total 449?","[""197"",""187"",""192"",""202""]",192,Share = total×a/(a+b) = 449×(3/7) = 192.,mixed,"ratio,aptitude"
Soft Skills Mastery — Mock 15,aptitude,mcq,An item with CP ₹614 sold at 33% profit. What is SP (₹)?,"[""817"",""807"",""827"",""837""]",817,SP = CP×(1 + p/100) = 614×(1+33/100) = 817.,mixed,"profit-loss,aptitude"
Soft Skills Mastery — Mock 15,aptitude,mcq,"In ratio 9:7, what is A's share out of total 282?","[""159"",""154"",""164"",""169""]",159,Share = total×a/(a+b) = 282×(9/16) = 159.,mixed,"ratio,aptitude"
Soft Skills Mastery — Mock 15,aptitude,mcq,"In ratio 9:5, what is A's share out of total 127?","[""82"",""77"",""92"",""87""]",82,Share = total×a/(a+b) = 127×(9/14) = 82.,mixed,"ratio,aptitude"
Soft Skills Mastery — Mock 15,aptitude,mcq,"In ratio 5:4, what is A's share out of total 378?","[""210"",""205"",""215"",""220""]",210,Share = total×a/(a+b) = 378×(5/9) = 210.,mixed,"ratio,aptitude"
Soft Skills Mastery — Mock 15,aptitude,mcq,"Find the average of [17, 20, 95, 64, 17].","[""43"",""47"",""41"",""45""]",43,Average = sum/count.,mixed,"average,aptitude"
Soft Skills Mastery — Mock 15,aptitude,mcq,What is 17% of 437?,"[""79"",""74"",""84"",""69""]",74,17% of 437 = (17/100)×437 = 74.,mixed,"percentage,aptitude"
Soft Skills Mastery — Mock 15,aptitude,mcq,"In ratio 5:9, what is A's share out of total 104?","[""32"",""37"",""47"",""42""]",37,Share = total×a/(a+b) = 104×(5/14) = 37.,mixed,"ratio,aptitude"
Soft Skills Mastery — Mock 15,aptitude,mcq,"Find the average of [19, 32, 88, 96].","[""61"",""59"",""57"",""63""]",59,Average = sum/count.,mixed,"average,aptitude"
Soft Skills Mastery — Mock 15,aptitude,mcq,"In ratio 8:7, what is A's share out of total 264?","[""151"",""141"",""136"",""146""]",141,Share = total×a/(a+b) = 264×(8/15) = 141.,mixed,"ratio,aptitude"
Soft Skills Mastery — Mock 15,aptitude,mcq,"In ratio 2:6, what is A's share out of total 238?","[""60"",""70"",""65"",""55""]",60,Share = total×a/(a+b) = 238×(2/8) = 60.,mixed,"ratio,aptitude"
Soft Skills Mastery — Mock 15,aptitude,mcq,"In ratio 2:7, what is A's share out of total 225?","[""45"",""50"",""60"",""55""]",50,Share = total×a/(a+b) = 225×(2/9) = 50.,mixed,"ratio,aptitude"
