exam_title,topic_slug,type,text,options_json,answer,explanation,difficulty,tags
Soft Skills Mastery — Mock 18,aptitude,mcq,An item with CP ₹617 sold at 28% profit. What is SP (₹)?,"[""790"",""780"",""800"",""810""]",790,SP = CP×(1 + p/100) = 617×(1+28/100) = 790.,mixed,"profit-loss,aptitude"
Soft Skills Mastery — Mock 18,aptitude,mcq,"Find the average of [93, 88, 87, 16, 96].","[""74"",""80"",""76"",""78""]",76,Average = sum/count.,mixed,"average,aptitude"
Soft Skills Mastery — Mock 18,aptitude,mcq,"In ratio 8:5, what is A's share out of total 214?","[""132"",""142"",""127"",""137""]",132,Share = total×a/(a+b) = 214×(8/13) = 132.,mixed,"ratio,aptitude"
Soft Skills Mastery — Mock 18,aptitude,mcq,"Find the average of [60, 53, 69, 55, 62].","[""58"",""62"",""60"",""64""]",60,Average = sum/count.,mixed,"average,aptitude"
Soft Skills Mastery — Mock 18,aptitude,mcq,What is 26% of 329?,"[""91"",""81"",""86"",""96""]",86,26% of 329 = (26/100)×329 = 86.,mixed,"percentage,aptitude"
Soft Skills Mastery — Mock 18,aptitude,mcq,"Find the average of [12, 69, 24, 99, 72, 40].","[""55"",""57"",""51"",""53""]",53,Average = sum/count.,mixed,"average,aptitude"
Soft Skills Mastery — Mock 18,aptitude,mcq,"Find the average of [36, 14, 32, 42].","[""35"",""33"",""29"",""31""]",31,Average = sum/count.,mixed,"average,aptitude"
Soft Skills Mastery — Mock 18,aptitude,mcq,"Find the average of [24, 26, 38, 80].","[""42"",""40"",""44"",""46""]",42,Average = sum/count.,mixed,"average,aptitude"
Soft Skills Mastery — Mock 18,aptitude,mcq,An item with CP ₹304 sold at 22% profit. What is SP (₹)?,"[""381"",""391"",""361"",""371""]",371,SP = CP×(1 + p/100) = 304×(1+22/100) = 371.,mixed,"profit-loss,aptitude"
Soft Skills Mastery — Mock 18,aptitude,mcq,"Find the average of [40, 30, 88, 44].","[""55"",""53"",""51"",""49""]",51,Average = sum/count.,mixed,"average,aptitude"
Soft Skills Mastery — Mock 18,aptitude,mcq,"In ratio 3:2, what is A's share out of total 206?","[""134"",""124"",""129"",""119""]",124,Share = total×a/(a+b) = 206×(3/5) = 124.,mixed,"ratio,aptitude"
Soft Skills Mastery — Mock 18,aptitude,mcq,"Find the average of [68, 40, 98, 20, 88, 42].","[""63"",""57"",""61"",""59""]",59,Average = sum/count.,mixed,"average,aptitude"
Soft Skills Mastery — Mock 18,aptitude,mcq,What is 50% of 381?,"[""186"",""191"",""201"",""196""]",191,50% of 381 = (50/100)×381 = 191.,mixed,"percentage,aptitude"
Soft Skills Mastery — Mock 18,aptitude,mcq,What is 37% of 347?,"[""123"",""133"",""128"",""138""]",128,37% of 347 = (37/100)×347 = 128.,mixed,"percentage,aptitude"
Soft Skills Mastery — Mock 18,aptitude,mcq,"Find the average of [27, 15, 23, 20].","[""21"",""19"",""23"",""25""]",21,Average = sum/count.,mixed,"average,aptitude"
Soft Skills Mastery — Mock 18,aptitude,mcq,An item with CP ₹475 sold at 17% profit. What is SP (₹)?,"[""556"",""566"",""546"",""576""]",556,SP = CP×(1 + p/100) = 475×(1+17/100) = 556.,mixed,"profit-loss,aptitude"
Soft Skills Mastery — Mock 18,aptitude,mcq,"Find the average of [94, 17, 45, 37].","[""50"",""52"",""46"",""48""]",48,Average = sum/count.,mixed,"average,aptitude"
Soft Skills Mastery — Mock 18,aptitude,mcq,An item with CP ₹702 sold at 19% profit. What is SP (₹)?,"[""825"",""845"",""855"",""835""]",835,SP = CP×(1 + p/100) = 702×(1+19/100) = 835.,mixed,"profit-loss,aptitude"
Soft Skills Mastery — Mock 18,quant,mcq,A train covers 485 km in 6 hours. Average speed (km/h)?,"[""81"",""76"",""91"",""86""]",81,Speed = Distance/Time.,mixed,"speed-distance,quant"
Soft Skills Mastery — Mock 18,quant,mcq,Simple Interest on ₹1222 at 13% p.a. for 4 years is?,"[""685"",""735"",""585"",""635""]",635,SI = (PRT)/100.,mixed,"simple-interest,quant"
