exam_title,topic_slug,type,text,options_json,answer,explanation,difficulty,tags
Soft Skills Mastery — Mock 03,aptitude,mcq,"In ratio 6:2, what is A's share out of total 324?","[""248"",""253"",""238"",""243""]",243,Share = total×a/(a+b) = 324×(6/8) = 243.,mixed,"ratio,aptitude"
Soft Skills Mastery — Mock 03,aptitude,mcq,An item with CP ₹605 sold at 8% profit. What is SP (₹)?,"[""643"",""653"",""663"",""673""]",653,SP = CP×(1 + p/100) = 605×(1+8/100) = 653.,mixed,"profit-loss,aptitude"
Soft Skills Mastery — Mock 03,aptitude,mcq,An item with CP ₹877 sold at 19% profit. What is SP (₹)?,"[""1044"",""1054"",""1034"",""1064""]",1044,SP = CP×(1 + p/100) = 877×(1+19/100) = 1044.,mixed,"profit-loss,aptitude"
Soft Skills Mastery — Mock 03,aptitude,mcq,An item with CP ₹772 sold at 28% profit. What is SP (₹)?,"[""988"",""1008"",""998"",""978""]",988,SP = CP×(1 + p/100) = 772×(1+28/100) = 988.,mixed,"profit-loss,aptitude"
Soft Skills Mastery — Mock 03,aptitude,mcq,What is 29% of 222?,"[""69"",""59"",""64"",""74""]",64,29% of 222 = (29/100)×222 = 64.,mixed,"percentage,aptitude"
Soft Skills Mastery — Mock 03,aptitude,mcq,"In ratio 5:7, what is A's share out of total 306?","[""133"",""123"",""138"",""128""]",128,Share = total×a/(a+b) = 306×(5/12) = 128.,mixed,"ratio,aptitude"
Soft Skills Mastery — Mock 03,aptitude,mcq,An item with CP ₹978 sold at 12% profit. What is SP (₹)?,"[""1095"",""1105"",""1085"",""1115""]",1095,SP = CP×(1 + p/100) = 978×(1+12/100) = 1095.,mixed,"profit-loss,aptitude"
Soft Skills Mastery — Mock 03,aptitude,mcq,"Find the average of [92, 86, 46, 52, 83, 49, 74].","[""73"",""71"",""69"",""67""]",69,Average = sum/count.,mixed,"average,aptitude"
Soft Skills Mastery — Mock 03,aptitude,mcq,"In ratio 3:8, what is A's share out of total 176?","[""43"",""48"",""58"",""53""]",48,Share = total×a/(a+b) = 176×(3/11) = 48.,mixed,"ratio,aptitude"
Soft Skills Mastery — Mock 03,aptitude,mcq,"In ratio 6:6, what is A's share out of total 190?","[""105"",""100"",""90"",""95""]",95,Share = total×a/(a+b) = 190×(6/12) = 95.,mixed,"ratio,aptitude"
Soft Skills Mastery — Mock 03,aptitude,mcq,"Find the average of [14, 85, 21, 13, 45, 87, 92].","[""55"",""53"",""49"",""51""]",51,Average = sum/count.,mixed,"average,aptitude"
Soft Skills Mastery — Mock 03,aptitude,mcq,What is 27% of 343?,"[""93"",""88"",""98"",""103""]",93,27% of 343 = (27/100)×343 = 93.,mixed,"percentage,aptitude"
Soft Skills Mastery — Mock 03,aptitude,mcq,"Find the average of [55, 77, 42, 36, 95, 61, 82].","[""64"",""66"",""68"",""62""]",64,Average = sum/count.,mixed,"average,aptitude"
Soft Skills Mastery — Mock 03,aptitude,mcq,"Find the average of [22, 68, 58, 41, 85, 19].","[""53"",""47"",""51"",""49""]",49,Average = sum/count.,mixed,"average,aptitude"
Soft Skills Mastery — Mock 03,aptitude,mcq,An item with CP ₹256 sold at 22% profit. What is SP (₹)?,"[""322"",""312"",""302"",""332""]",312,SP = CP×(1 + p/100) = 256×(1+22/100) = 312.,mixed,"profit-loss,aptitude"
Soft Skills Mastery — Mock 03,aptitude,mcq,"Find the average of [95, 21, 98, 48, 18].","[""56"",""58"",""54"",""60""]",56,Average = sum/count.,mixed,"average,aptitude"
Soft Skills Mastery — Mock 03,aptitude,mcq,"In ratio 9:6, what is A's share out of total 282?","[""179"",""169"",""164"",""174""]",169,Share = total×a/(a+b) = 282×(9/15) = 169.,mixed,"ratio,aptitude"
Soft Skills Mastery — Mock 03,aptitude,mcq,An item with CP ₹218 sold at 17% profit. What is SP (₹)?,"[""245"",""275"",""255"",""265""]",255,SP = CP×(1 + p/100) = 218×(1+17/100) = 255.,mixed,"profit-loss,aptitude"
Soft Skills Mastery — Mock 03,quant,mcq,"A completes work in 10 days, B in 11 days. Together, how many days?","[""5.2"",""4.2"",""6.2"",""5.7""]",5.2,Time = AB/(A+B).,mixed,"time&work,quant"
Soft Skills Mastery — Mock 03,quant,mcq,"A completes work in 10 days, B in 8 days. Together, how many days?","[""4.4"",""3.4000000000000004"",""5.4"",""4.9""]",4.4,Time = AB/(A+B).,mixed,"time&work,quant"
Soft Skills Mastery — Mock 03,quant,mcq,"A completes work in 8 days, B in 11 days. Together, how many days?","[""3.5999999999999996"",""5.1"",""5.6"",""4.6""]",4.6,Time = AB/(A+B).,mixed,"time&work,quant"
Soft Skills Mastery — Mock 03,quant,mcq,A train covers 131 km in 6 hours. Average speed (km/h)?,"[""32"",""17"",""27"",""22""]",22,Speed = Distance/Time.,mixed,"speed-distance,quant"
Soft Skills Mastery — Mock 03,quant,mcq,Number of permutations of 5 different objects taken all at a time:,"[""125"",""120"",""119"",""60""]",120,5! permutations.,mixed,"permutations,quant"
Soft Skills Mastery — Mock 03,quant,mcq,Simple Interest on ₹3559 at 9% p.a. for 3 years is?,"[""1011"",""961"",""911"",""1061""]",961,SI = (PRT)/100.,mixed,"simple-interest,quant"
Soft Skills Mastery — Mock 03,quant,mcq,Simple Interest on ₹1559 at 13% p.a. for 4 years is?,"[""911"",""761"",""861"",""811""]",811,SI = (PRT)/100.,mixed,"simple-interest,quant"
Soft Skills Mastery — Mock 03,quant,mcq,"A completes work in 10 days, B in 14 days. Together, how many days?","[""5.8"",""6.3"",""6.8"",""4.8""]",5.8,Time = AB/(A+B).,mixed,"time&work,quant"
Soft Skills Mastery — Mock 03,quant,mcq,A train covers 210 km in 2 hours. Average speed (km/h)?,"[""110"",""115"",""105"",""100""]",105,Speed = Distance/Time.,mixed,"speed-distance,quant"
Soft Skills Mastery — Mock 03,quant,mcq,Simple Interest on ₹4837 at 7% p.a. for 2 years is?,"[""627"",""677"",""777"",""727""]",677,SI = (PRT)/100.,mixed,"simple-interest,quant"
Soft Skills Mastery — Mock 03,quant,mcq,Number of permutations of 7 different objects taken all at a time:,"[""5047"",""2520"",""5039"",""5040""]",5040,7! permutations.,mixed,"permutations,quant"
