exam_title,topic_slug,type,text,options_json,answer,explanation,difficulty,tags
Soft Skills Mastery — Mock 11,aptitude,mcq,What is 26% of 261?,"[""78"",""68"",""63"",""73""]",68,26% of 261 = (26/100)×261 = 68.,mixed,"percentage,aptitude"
Soft Skills Mastery — Mock 11,aptitude,mcq,What is 7% of 187?,"[""8"",""13"",""18"",""23""]",13,7% of 187 = (7/100)×187 = 13.,mixed,"percentage,aptitude"
Soft Skills Mastery — Mock 11,aptitude,mcq,What is 11% of 331?,"[""36"",""46"",""31"",""41""]",36,11% of 331 = (11/100)×331 = 36.,mixed,"percentage,aptitude"
Soft Skills Mastery — Mock 11,aptitude,mcq,"Find the average of [54, 98, 43, 53, 80, 46, 39].","[""61"",""63"",""57"",""59""]",59,Average = sum/count.,mixed,"average,aptitude"
Soft Skills Mastery — Mock 11,aptitude,mcq,"In ratio 5:8, what is A's share out of total 212?","[""92"",""77"",""82"",""87""]",82,Share = total×a/(a+b) = 212×(5/13) = 82.,mixed,"ratio,aptitude"
Soft Skills Mastery — Mock 11,aptitude,mcq,What is 33% of 391?,"[""124"",""139"",""129"",""134""]",129,33% of 391 = (33/100)×391 = 129.,mixed,"percentage,aptitude"
Soft Skills Mastery — Mock 11,aptitude,mcq,An item with CP ₹304 sold at 27% profit. What is SP (₹)?,"[""406"",""386"",""396"",""376""]",386,SP = CP×(1 + p/100) = 304×(1+27/100) = 386.,mixed,"profit-loss,aptitude"
Soft Skills Mastery — Mock 11,aptitude,mcq,What is 38% of 251?,"[""95"",""105"",""100"",""90""]",95,38% of 251 = (38/100)×251 = 95.,mixed,"percentage,aptitude"
Soft Skills Mastery — Mock 11,aptitude,mcq,"Find the average of [26, 55, 14, 41].","[""34"",""38"",""32"",""36""]",34,Average = sum/count.,mixed,"average,aptitude"
Soft Skills Mastery — Mock 11,aptitude,mcq,"Find the average of [40, 30, 71, 82, 49].","[""54"",""56"",""58"",""52""]",54,Average = sum/count.,mixed,"average,aptitude"
Soft Skills Mastery — Mock 11,aptitude,mcq,An item with CP ₹201 sold at 30% profit. What is SP (₹)?,"[""261"",""281"",""271"",""251""]",261,SP = CP×(1 + p/100) = 201×(1+30/100) = 261.,mixed,"profit-loss,aptitude"
Soft Skills Mastery — Mock 11,aptitude,mcq,What is 40% of 315?,"[""121"",""131"",""126"",""136""]",126,40% of 315 = (40/100)×315 = 126.,mixed,"percentage,aptitude"
Soft Skills Mastery — Mock 11,aptitude,mcq,What is 33% of 350?,"[""121"",""111"",""116"",""126""]",116,33% of 350 = (33/100)×350 = 116.,mixed,"percentage,aptitude"
Soft Skills Mastery — Mock 11,aptitude,mcq,"In ratio 6:5, what is A's share out of total 313?","[""171"",""181"",""166"",""176""]",171,Share = total×a/(a+b) = 313×(6/11) = 171.,mixed,"ratio,aptitude"
Soft Skills Mastery — Mock 11,aptitude,mcq,"In ratio 2:5, what is A's share out of total 100?","[""29"",""24"",""39"",""34""]",29,Share = total×a/(a+b) = 100×(2/7) = 29.,mixed,"ratio,aptitude"
Soft Skills Mastery — Mock 11,aptitude,mcq,What is 21% of 170?,"[""31"",""36"",""46"",""41""]",36,21% of 170 = (21/100)×170 = 36.,mixed,"percentage,aptitude"
Soft Skills Mastery — Mock 11,aptitude,mcq,What is 49% of 493?,"[""252"",""237"",""242"",""247""]",242,49% of 493 = (49/100)×493 = 242.,mixed,"percentage,aptitude"
Soft Skills Mastery — Mock 11,aptitude,mcq,What is 25% of 479?,"[""115"",""120"",""125"",""130""]",120,25% of 479 = (25/100)×479 = 120.,mixed,"percentage,aptitude"
Soft Skills Mastery — Mock 11,quant,mcq,"A completes work in 10 days, B in 8 days. Together, how many days?","[""5.4"",""4.9"",""3.4000000000000004"",""4.4""]",4.4,Time = AB/(A+B).,mixed,"time&work,quant"
