exam_title,topic_slug,type,text,options_json,answer,explanation,difficulty,tags
Soft Skills Mastery — Mock 19,aptitude,mcq,"Find the average of [84, 79, 43, 53, 65, 18].","[""59"",""57"",""61"",""55""]",57,Average = sum/count.,mixed,"average,aptitude"
Soft Skills Mastery — Mock 19,aptitude,mcq,An item with CP ₹901 sold at 13% profit. What is SP (₹)?,"[""1028"",""1018"",""1038"",""1008""]",1018,SP = CP×(1 + p/100) = 901×(1+13/100) = 1018.,mixed,"profit-loss,aptitude"
Soft Skills Mastery — Mock 19,aptitude,mcq,"Find the average of [12, 36, 52, 12, 43, 17].","[""31"",""33"",""29"",""27""]",29,Average = sum/count.,mixed,"average,aptitude"
Soft Skills Mastery — Mock 19,aptitude,mcq,What is 41% of 325?,"[""133"",""143"",""128"",""138""]",133,41% of 325 = (41/100)×325 = 133.,mixed,"percentage,aptitude"
Soft Skills Mastery — Mock 19,aptitude,mcq,What is 34% of 377?,"[""128"",""133"",""123"",""138""]",128,34% of 377 = (34/100)×377 = 128.,mixed,"percentage,aptitude"
Soft Skills Mastery — Mock 19,aptitude,mcq,An item with CP ₹970 sold at 24% profit. What is SP (₹)?,"[""1223"",""1193"",""1213"",""1203""]",1203,SP = CP×(1 + p/100) = 970×(1+24/100) = 1203.,mixed,"profit-loss,aptitude"
Soft Skills Mastery — Mock 19,aptitude,mcq,What is 26% of 346?,"[""95"",""100"",""85"",""90""]",90,26% of 346 = (26/100)×346 = 90.,mixed,"percentage,aptitude"
Soft Skills Mastery — Mock 19,aptitude,mcq,"Find the average of [34, 74, 50, 46, 20, 78].","[""48"",""52"",""50"",""54""]",50,Average = sum/count.,mixed,"average,aptitude"
Soft Skills Mastery — Mock 19,aptitude,mcq,An item with CP ₹624 sold at 25% profit. What is SP (₹)?,"[""790"",""780"",""800"",""770""]",780,SP = CP×(1 + p/100) = 624×(1+25/100) = 780.,mixed,"profit-loss,aptitude"
Soft Skills Mastery — Mock 19,aptitude,mcq,An item with CP ₹644 sold at 10% profit. What is SP (₹)?,"[""698"",""718"",""728"",""708""]",708,SP = CP×(1 + p/100) = 644×(1+10/100) = 708.,mixed,"profit-loss,aptitude"
Soft Skills Mastery — Mock 19,aptitude,mcq,What is 27% of 283?,"[""76"",""81"",""71"",""86""]",76,27% of 283 = (27/100)×283 = 76.,mixed,"percentage,aptitude"
Soft Skills Mastery — Mock 19,aptitude,mcq,What is 29% of 339?,"[""98"",""108"",""93"",""103""]",98,29% of 339 = (29/100)×339 = 98.,mixed,"percentage,aptitude"
Soft Skills Mastery — Mock 19,aptitude,mcq,"Find the average of [30, 40, 73, 16, 71, 45].","[""44"",""46"",""48"",""50""]",46,Average = sum/count.,mixed,"average,aptitude"
Soft Skills Mastery — Mock 19,aptitude,mcq,An item with CP ₹290 sold at 8% profit. What is SP (₹)?,"[""313"",""333"",""303"",""323""]",313,SP = CP×(1 + p/100) = 290×(1+8/100) = 313.,mixed,"profit-loss,aptitude"
Soft Skills Mastery — Mock 19,aptitude,mcq,What is 49% of 290?,"[""137"",""142"",""152"",""147""]",142,49% of 290 = (49/100)×290 = 142.,mixed,"percentage,aptitude"
Soft Skills Mastery — Mock 19,aptitude,mcq,"Find the average of [58, 60, 36, 13].","[""40"",""42"",""46"",""44""]",42,Average = sum/count.,mixed,"average,aptitude"
Soft Skills Mastery — Mock 19,aptitude,mcq,"Find the average of [62, 60, 22, 99].","[""65"",""61"",""59"",""63""]",61,Average = sum/count.,mixed,"average,aptitude"
Soft Skills Mastery — Mock 19,aptitude,mcq,What is 7% of 114?,"[""8"",""18"",""3"",""13""]",8,7% of 114 = (7/100)×114 = 8.,mixed,"percentage,aptitude"
Soft Skills Mastery — Mock 19,quant,mcq,Number of permutations of 6 different objects taken all at a time:,"[""360"",""719"",""726"",""720""]",720,6! permutations.,mixed,"permutations,quant"
Soft Skills Mastery — Mock 19,quant,mcq,A train covers 400 km in 4 hours. Average speed (km/h)?,"[""95"",""105"",""110"",""100""]",100,Speed = Distance/Time.,mixed,"speed-distance,quant"
Soft Skills Mastery — Mock 19,quant,mcq,A train covers 332 km in 2 hours. Average speed (km/h)?,"[""171"",""161"",""166"",""176""]",166,Speed = Distance/Time.,mixed,"speed-distance,quant"
Soft Skills Mastery — Mock 19,quant,mcq,Number of permutations of 5 different objects taken all at a time:,"[""119"",""120"",""60"",""125""]",120,5! permutations.,mixed,"permutations,quant"
Soft Skills Mastery — Mock 19,quant,mcq,A train covers 181 km in 3 hours. Average speed (km/h)?,"[""70"",""55"",""65"",""60""]",60,Speed = Distance/Time.,mixed,"speed-distance,quant"
Soft Skills Mastery — Mock 19,quant,mcq,A train covers 272 km in 6 hours. Average speed (km/h)?,"[""55"",""50"",""45"",""40""]",45,Speed = Distance/Time.,mixed,"speed-distance,quant"
Soft Skills Mastery — Mock 19,quant,mcq,A train covers 262 km in 3 hours. Average speed (km/h)?,"[""87"",""92"",""82"",""97""]",87,Speed = Distance/Time.,mixed,"speed-distance,quant"
Soft Skills Mastery — Mock 19,quant,mcq,"A completes work in 9 days, B in 12 days. Together, how many days?","[""5.1"",""5.6"",""4.1"",""6.1""]",5.1,Time = AB/(A+B).,mixed,"time&work,quant"
Soft Skills Mastery — Mock 19,quant,mcq,A train covers 417 km in 4 hours. Average speed (km/h)?,"[""104"",""114"",""99"",""109""]",104,Speed = Distance/Time.,mixed,"speed-distance,quant"
Soft Skills Mastery — Mock 19,quant,mcq,"A completes work in 10 days, B in 10 days. Together, how many days?","[""5.5"",""5"",""6"",""4""]",5,Time = AB/(A+B).,mixed,"time&work,quant"
Soft Skills Mastery — Mock 19,quant,mcq,Simple Interest on ₹4828 at 14% p.a. for 3 years is?,"[""2028"",""2128"",""1978"",""2078""]",2028,SI = (PRT)/100.,mixed,"simple-interest,quant"
Soft Skills Mastery — Mock 19,quant,mcq,Number of permutations of 6 different objects taken all at a time:,"[""726"",""360"",""720"",""719""]",720,6! permutations.,mixed,"permutations,quant"
Soft Skills Mastery — Mock 19,quant,mcq,Number of permutations of 7 different objects taken all at a time:,"[""2520"",""5047"",""5040"",""5039""]",5040,7! permutations.,mixed,"permutations,quant"
Soft Skills Mastery — Mock 19,quant,mcq,"A completes work in 11 days, B in 8 days. Together, how many days?","[""4.6"",""5.6"",""5.1"",""3.5999999999999996""]",4.6,Time = AB/(A+B).,mixed,"time&work,quant"
Soft Skills Mastery — Mock 19,quant,mcq,"A completes work in 6 days, B in 11 days. Together, how many days?","[""2.9"",""4.9"",""3.9"",""4.4""]",3.9,Time = AB/(A+B).,mixed,"time&work,quant"
Soft Skills Mastery — Mock 19,quant,mcq,Simple Interest on ₹2300 at 15% p.a. for 1 years is?,"[""445"",""395"",""295"",""345""]",345,SI = (PRT)/100.,mixed,"simple-interest,quant"
Soft Skills Mastery — Mock 19,quant,mcq,Simple Interest on ₹2773 at 7% p.a. for 2 years is?,"[""388"",""338"",""488"",""438""]",388,SI = (PRT)/100.,mixed,"simple-interest,quant"
Soft Skills Mastery — Mock 19,quant,mcq,"A completes work in 7 days, B in 14 days. Together, how many days?","[""3.7"",""4.7"",""5.7"",""5.2""]",4.7,Time = AB/(A+B).,mixed,"time&work,quant"
Soft Skills Mastery — Mock 19,reasoning,mcq,"Find the next term: 2, 4, 6, 8, __","[""12"",""12"",""10"",""8""]",10,Arithmetic progression with d=2.,mixed,"series,reasoning"
Soft Skills Mastery — Mock 19,reasoning,mcq,"Find the next term: 5, 11, 17, 23, __","[""27"",""35"",""31"",""29""]",29,Arithmetic progression with d=6.,mixed,"series,reasoning"
Soft Skills Mastery — Mock 19,reasoning,mcq,A is the mother of B. B is the father of C. How is A related to C?,"[""Mother"",""Aunt"",""Grandfather"",""Father""]",Grandmother,"A → B → C, so A is C's grandmother (not in options? prefer 'Grandmother').",mixed,"blood-relations,reasoning"
Soft Skills Mastery — Mock 19,reasoning,mcq,"A walks 3km North, then 4km East, then 3km South. Which direction from start?","[""East"",""South"",""North"",""West""]",East,Net displacement is 4km towards East.,mixed,"direction,reasoning"
Soft Skills Mastery — Mock 19,reasoning,mcq,"Find the next term: 2, 7, 12, 17, __","[""22"",""27"",""20"",""24""]",22,Arithmetic progression with d=5.,mixed,"series,reasoning"
Soft Skills Mastery — Mock 19,reasoning,mcq,Analogy — Bird : Nest :: Bee : ?,"[""Classroom"",""Clinic"",""Hive"",""Kennel""]",Hive,Maintain relationship pattern.,mixed,"analogy,reasoning"
Soft Skills Mastery — Mock 19,reasoning,mcq,"Find the next term: 5, 8, 11, 14, __","[""20"",""15"",""19"",""17""]",17,Arithmetic progression with d=3.,mixed,"series,reasoning"
Soft Skills Mastery — Mock 19,reasoning,mcq,"Find the next term: 2, 7, 12, 17, __","[""27"",""22"",""24"",""20""]",22,Arithmetic progression with d=5.,mixed,"series,reasoning"
Soft Skills Mastery — Mock 19,reasoning,mcq,Analogy — Bird : Nest :: Bee : ?,"[""Classroom"",""Hive"",""Kennel"",""Clinic""]",Hive,Maintain relationship pattern.,mixed,"analogy,reasoning"
Soft Skills Mastery — Mock 19,reasoning,mcq,A is the mother of B. B is the father of C. How is A related to C?,"[""Father"",""Mother"",""Grandfather"",""Aunt""]",Grandmother,"A → B → C, so A is C's grandmother (not in options? prefer 'Grandmother').",mixed,"blood-relations,reasoning"
Soft Skills Mastery — Mock 19,reasoning,mcq,"A walks 3km North, then 4km East, then 3km South. Which direction from start?","[""West"",""South"",""North"",""East""]",East,Net displacement is 4km towards East.,mixed,"direction,reasoning"
Soft Skills Mastery — Mock 19,reasoning,mcq,"A walks 3km North, then 4km East, then 3km South. Which direction from start?","[""East"",""South"",""West"",""North""]",East,Net displacement is 4km towards East.,mixed,"direction,reasoning"
Soft Skills Mastery — Mock 19,reasoning,mcq,"Find the next term: 7, 9, 11, 13, __","[""17"",""17"",""15"",""13""]",15,Arithmetic progression with d=2.,mixed,"series,reasoning"
Soft Skills Mastery — Mock 19,reasoning,mcq,Analogy — Cat : Kitten :: Dog : ?,"[""Clinic"",""Kennel"",""Classroom"",""Puppy""]",Puppy,Maintain relationship pattern.,mixed,"analogy,reasoning"
Soft Skills Mastery — Mock 19,reasoning,mcq,A is the mother of B. B is the father of C. How is A related to C?,"[""Grandfather"",""Aunt"",""Father"",""Mother""]",Grandmother,"A → B → C, so A is C's grandmother (not in options? prefer 'Grandmother').",mixed,"blood-relations,reasoning"
Soft Skills Mastery — Mock 19,reasoning,mcq,A is the mother of B. B is the father of C. How is A related to C?,"[""Grandfather"",""Father"",""Aunt"",""Mother""]",Grandmother,"A → B → C, so A is C's grandmother (not in options? prefer 'Grandmother').",mixed,"blood-relations,reasoning"
Soft Skills Mastery — Mock 19,reasoning,mcq,Analogy — Doctor : Hospital :: Teacher : ?,"[""Classroom"",""Clinic"",""School"",""Kennel""]",School,Maintain relationship pattern.,mixed,"analogy,reasoning"
Soft Skills Mastery — Mock 19,reasoning,mcq,Analogy — Cat : Kitten :: Dog : ?,"[""Kennel"",""Classroom"",""Clinic"",""Puppy""]",Puppy,Maintain relationship pattern.,mixed,"analogy,reasoning"
Soft Skills Mastery — Mock 19,verbal,mcq,"Choose the synonym of ""concise"".","[""rare"",""neutral"",""brief"",""careless""]",brief,"""brief"" is closest in meaning to ""concise"".",mixed,"synonym,verbal"
Soft Skills Mastery — Mock 19,verbal,mcq,"Choose the antonym of ""fragile"".","[""increase"",""robust"",""aggressive"",""hidden""]",robust,"""robust"" is opposite in meaning to ""fragile"".",mixed,"antonym,verbal"
Soft Skills Mastery — Mock 19,verbal,mcq,She has a ____ interest in physics.,"[""keenly"",""keel"",""kean"",""keen""]",keen,"Correct usage is ""keen"".",mixed,"grammar,verbal"
Soft Skills Mastery — Mock 19,verbal,mcq,"Choose the synonym of ""diligent"".","[""hardworking"",""neutral"",""lengthy"",""rare""]",hardworking,"""hardworking"" is closest in meaning to ""diligent"".",mixed,"synonym,verbal"
Soft Skills Mastery — Mock 19,verbal,mcq,"Choose the correct sentence: ""He don't likes playing.""","[""He don't like playing."",""He do not likes playing."",""He doesn't like playing."",""He doesn't likes playing.""]",He doesn't like playing.,Subject-verb agreement with 'doesn't like'.,mixed,"sentence-correction,verbal"
Soft Skills Mastery — Mock 19,verbal,mcq,"Choose the correct sentence: ""He don't likes playing.""","[""He doesn't likes playing."",""He don't like playing."",""He do not likes playing."",""He doesn't like playing.""]",He doesn't like playing.,Subject-verb agreement with 'doesn't like'.,mixed,"sentence-correction,verbal"
