exam_title,topic_slug,type,text,options_json,answer,explanation,difficulty,tags
Soft Skills Mastery — Mock 08,aptitude,mcq,"In ratio 2:5, what is A's share out of total 250?","[""66"",""71"",""76"",""81""]",71,Share = total×a/(a+b) = 250×(2/7) = 71.,mixed,"ratio,aptitude"
Soft Skills Mastery — Mock 08,aptitude,mcq,"In ratio 7:7, what is A's share out of total 406?","[""198"",""203"",""208"",""213""]",203,Share = total×a/(a+b) = 406×(7/14) = 203.,mixed,"ratio,aptitude"
Soft Skills Mastery — Mock 08,aptitude,mcq,"Find the average of [35, 32, 50, 67, 90].","[""53"",""55"",""57"",""59""]",55,Average = sum/count.,mixed,"average,aptitude"
Soft Skills Mastery — Mock 08,aptitude,mcq,What is 49% of 303?,"[""143"",""148"",""158"",""153""]",148,49% of 303 = (49/100)×303 = 148.,mixed,"percentage,aptitude"
Soft Skills Mastery — Mock 08,aptitude,mcq,"Find the average of [76, 61, 60, 55, 89, 95, 51].","[""68"",""74"",""70"",""72""]",70,Average = sum/count.,mixed,"average,aptitude"
Soft Skills Mastery — Mock 08,aptitude,mcq,An item with CP ₹390 sold at 19% profit. What is SP (₹)?,"[""484"",""474"",""464"",""454""]",464,SP = CP×(1 + p/100) = 390×(1+19/100) = 464.,mixed,"profit-loss,aptitude"
Soft Skills Mastery — Mock 08,aptitude,mcq,What is 28% of 467?,"[""126"",""141"",""136"",""131""]",131,28% of 467 = (28/100)×467 = 131.,mixed,"percentage,aptitude"
Soft Skills Mastery — Mock 08,aptitude,mcq,An item with CP ₹964 sold at 30% profit. What is SP (₹)?,"[""1243"",""1253"",""1273"",""1263""]",1253,SP = CP×(1 + p/100) = 964×(1+30/100) = 1253.,mixed,"profit-loss,aptitude"
Soft Skills Mastery — Mock 08,aptitude,mcq,What is 29% of 329?,"[""100"",""90"",""95"",""105""]",95,29% of 329 = (29/100)×329 = 95.,mixed,"percentage,aptitude"
Soft Skills Mastery — Mock 08,aptitude,mcq,An item with CP ₹446 sold at 35% profit. What is SP (₹)?,"[""622"",""602"",""592"",""612""]",602,SP = CP×(1 + p/100) = 446×(1+35/100) = 602.,mixed,"profit-loss,aptitude"
Soft Skills Mastery — Mock 08,aptitude,mcq,An item with CP ₹807 sold at 15% profit. What is SP (₹)?,"[""918"",""938"",""948"",""928""]",928,SP = CP×(1 + p/100) = 807×(1+15/100) = 928.,mixed,"profit-loss,aptitude"
Soft Skills Mastery — Mock 08,aptitude,mcq,An item with CP ₹643 sold at 34% profit. What is SP (₹)?,"[""862"",""882"",""852"",""872""]",862,SP = CP×(1 + p/100) = 643×(1+34/100) = 862.,mixed,"profit-loss,aptitude"
Soft Skills Mastery — Mock 08,aptitude,mcq,What is 45% of 167?,"[""75"",""80"",""70"",""85""]",75,45% of 167 = (45/100)×167 = 75.,mixed,"percentage,aptitude"
Soft Skills Mastery — Mock 08,aptitude,mcq,"In ratio 8:9, what is A's share out of total 460?","[""216"",""221"",""211"",""226""]",216,Share = total×a/(a+b) = 460×(8/17) = 216.,mixed,"ratio,aptitude"
