id,text,type,options_json,correct_index,explanation,topic,difficulty
1,"In a row of 6 people facing North, the left-to-right order is:
C, F, E, B, A, D.
Who is at the extreme right end?",mcq,"[""A"",""D"",""C"",""E""]",1,Read the fixed order carefully and map the required position.,Seating Arrangements,mixed
2,"In a row of 8 people facing North, the left-to-right order is:
F, H, E, G, D, B, C, A.
Who sits between F and E?",mcq,"[""F"",""E"",""B"",""H""]",3,Read the fixed order carefully and map the required position.,Seating Arrangements,mixed
3,"In a row of 8 people facing North, the left-to-right order is:
G, C, F, D, E, B, A, H.
Who sits between C and D?",mcq,"[""A"",""D"",""C"",""F""]",3,Read the fixed order carefully and map the required position.,Seating Arrangements,mixed
4,"In a row of 6 people facing North, the left-to-right order is:
C, A, E, F, B, D.
Who is at the extreme right end?",mcq,"[""B"",""D"",""C"",""A""]",1,Read the fixed order carefully and map the required position.,Seating Arrangements,mixed
5,"In a row of 6 people facing North, the left-to-right order is:
D, C, E, B, F, A.
Who sits 2 seats to the right of E?",mcq,"[""A"",""D"",""F"",""C""]",2,Read the fixed order carefully and map the required position.,Seating Arrangements,mixed
6,"In a row of 8 people facing North, the left-to-right order is:
A, G, F, H, B, E, C, D.
Who is at the extreme right end?",mcq,"[""E"",""D"",""H"",""F""]",1,Read the fixed order carefully and map the required position.,Seating Arrangements,mixed
7,"Boxes A, B, C, D, E are stacked from bottom to top as:
E < A < D < C < B (left is bottom, right is top).
Which box is on the top?",mcq,"[""E"",""C"",""B"",""D""]",2,Trace positions carefully from the declared bottom/top.,Puzzles,mixed
8,"Boxes A, B, C, D, E, F are stacked from bottom to top as:
A < F < B < E < D < C (left is bottom, right is top).
Which box is on the top?",mcq,"[""A"",""F"",""C"",""E""]",2,Trace positions carefully from the declared bottom/top.,Puzzles,mixed
9,"Boxes A, B, C, D, E, F are stacked from bottom to top as:
F < C < E < A < D < B (left is bottom, right is top).
Which box is the 2nd from the bottom?",mcq,"[""C"",""A"",""D"",""F""]",0,Trace positions carefully from the declared bottom/top.,Puzzles,mixed
10,"Boxes A, B, C, D, E, F are stacked from bottom to top as:
B < C < D < A < F < E (left is bottom, right is top).
Which box is on the top?",mcq,"[""A"",""C"",""E"",""F""]",2,Trace positions carefully from the declared bottom/top.,Puzzles,mixed
