id,text,type,options_json,correct_index,explanation,topic,difficulty
1,"It was Sunday on Jan 1, 2006. What was the day of the week Jan 1, 2010?",mcq,"[""Sunday"", ""Saturday"", ""Friday"", ""Wednesday""]",2,"On 31st December, 2005 it was Saturday. Number of odd days from 2006 to 2009 = (1 + 1 + 2 + 1) = 5 days. On 31st December 2009, it was Thursday. Thus, on 1st Jan, 2010 it is Friday.",,mixed
2,"What was the day of the week on 28th May, 2006?",mcq,"[""Thursday"", ""Friday"", ""Saturday"", ""Sunday""]",3,"Odd days in 1600 years = 0. Odd days in 400 years = 0. 5 years = (4 ordinary years + 1 leap year) = (4 x 1 + 1 x 2) = 6 odd days. 148 days = (21 weeks + 1 day) = 1 odd day. Total odd days = (0 + 0 + 6 + 1) = 7, 0 odd day. Given day is Sunday.",,mixed
3,"What was the day of the week on 17th June, 1998?",mcq,"[""Monday"", ""Tuesday"", ""Wednesday"", ""Thursday""]",2,Odd days in 1600 years = 0. Odd days in 300 years = (5 x 3) = 1. 97 years = 24 leap years + 73 ordinary years. Odd days in 97 years = (24 x 2 + 73) = 121 = 2 odd days. 168 days = 24 weeks = 0 odd day. Total odd days = (0 + 1 + 2 + 0) = 3. Given day is Wednesday.,,mixed
4,"What will be the day of the week on 15th August, 2010?",mcq,"[""Sunday"", ""Monday"", ""Tuesday"", ""Friday""]",0,"Odd days in 1600 years = 0. Odd days in 400 years = 0. 9 years = (2 leap years + 7 ordinary years) = (2 x 2 + 7 x 1) = 11 odd days. 227 days = (32 weeks + 3 days) = 3 odd days. Total odd days = (0 + 0 + 4 + 3) = 7, 0 odd days. Given day is Sunday.",,mixed
5,"Today is Monday. After 61 days, it will be:",mcq,"[""Wednesday"", ""Saturday"", ""Tuesday"", ""Thursday""]",1,"After 63 days, it will be Monday. After 61 days, it will be Saturday.",,mixed
6,An accurate clock shows 8 o'clock in the morning. Through how many degrees will the hour hand rotate when the clock shows 2 o'clock in the afternoon?,mcq,"[""144°"", ""150°"", ""168°"", ""180°""]",3,Angle traced by the hour hand in 6 hours = (360 × 6) / 12 = 180°.,,mixed
7,The reflex angle between the hands of a clock at 10:25 is:,mcq,"[""180°"", ""192.5°"", ""195°"", ""197.5°""]",3,Angle traced by hour hand in 10 hrs = (360 × 10) / 12 = 300°. Angle traced by minute hand in 25 min = (360 × 25) / 60 = 150°. Reflex angle = 360° - (300° - 150°) = 360° - 162.5° = 197.5°.,,mixed
8,"A clock is started at noon. By 10 minutes past 5, the hour hand has turned through:",mcq,"[""145°"", ""150°"", ""155°"", ""160°""]",2,Angle traced by hour hand in 12 hrs = 360°. Angle traced by hour hand in 5 hrs 10 min. = (360 × 31) / 60 = 155°.,,mixed
9,"A watch which gains 5 seconds in 3 minutes was set right at 7 a.m. In the afternoon of the same day, when the watch indicated quarter past 4 o'clock, the true time is:",mcq,"[""3:59 p.m."", ""4 p.m."", ""3:58 p.m."", ""3:59 p.m.""]",2,"Time from 7 a.m. to 4:15 p.m. = 9 hrs 15 min. Time gained = 5 sec every 3 min. True time is 9 hours after 7 a.m., i.e., 4 p.m.",,mixed
10,"How much does a watch lose per day, if its hands coincide every 64 minutes?",mcq,"[""32.8 min"", ""36.5 min"", ""90 min"", ""96 min""]",0,Loss in 64 min = (65.5 min - 64 min) = 1.5 min. Loss in 24 hrs = (1.5 min × 24 hrs) = 32.8 min.,,mixed
