id,text,type,options_json,correct_index,explanation,topic,difficulty
1,"A man has Rs.480 in the denominations of one-rupee notes, five-rupee notes and ten-rupee notes. The number of notes of each denomination is equal. What is the total number of notes that he has?",mcq,"[""45"", ""60"", ""75"", ""90""]",3,"Let number of notes of each denomination be x. Then x + 5x + 10x = 480, solving gives x = 30, so total notes = 3x = 90.",Number System,mixed
2,"There are two examinations rooms A and B. If 10 students are sent from A to B, then the number of students in each room is the same. If 20 candidates are sent from B to A, then the number of students in A is double the number of students in B. The number of students in room A is:",mcq,"[""20"", ""80"", ""100"", ""200""]",2,"Solving the system of equations x - 10 = y + 10 and x + 20 = 2(y - 20) gives x = 100, so students in A = 100.",Number System,mixed
3,The price of 10 chairs is equal to that of 4 tables. The price of 15 chairs and 2 tables together is Rs. 4000. The total price of 12 chairs and 3 tables is:,mcq,"[""Rs. 3500"", ""Rs. 3750"", ""Rs. 3840"", ""Rs. 3900""]",3,"Solving for x (price of a chair) and y (price of a table), we get the cost of 12 chairs and 3 tables = Rs. 3900.",Percentages,mixed
4,"If a - b = 3 and a² + b² = 29, find the value of ab.",mcq,"[""10"", ""12"", ""15"", ""18""]",0,"Using the identity 2ab = (a² + b²) - (a - b)², we find ab = 10.",Percentages,mixed
5,"The price of 2 sarees and 4 shirts is Rs. 1600. With the same money one can buy 1 saree and 6 shirts. If one wants to buy 12 shirts, how much shall he have to pay?",mcq,"[""Rs. 1200"", ""Rs. 2400"", ""Rs. 4800"", ""Cannot be determined""]",1,Solving the system of equations gives the price of 12 shirts = Rs. 2400.,Profit & Loss,mixed
6,The cube root of 0.000216 is:,mcq,"["".6"", "".06"", ""77"", ""87""]",1,(0.000216)^(1/3) = 0.06.,Profit & Loss,mixed
7,What should come in place of both x in the equation x = 162?,mcq,"[12, 14, 144, 196]",3,Solving gives x = 144.,Average,mixed
8,"The least perfect square, which is divisible by each of 21, 36, and 66 is:",mcq,"[213444, 214344, 214434, 231444]",0,"LCM of 21, 36, 66 = 2772. To make it a perfect square, multiply by 7 × 11 = 213444.",Average,mixed
9,1.5625 = ?,mcq,"[1.05, 1.25, 1.45, 1.55]",1,1.5625 = 1.25.,Ratio & Proportion,mixed
10,"If 35 + 125 = 17.88, then what will be the value of 80 + 65?",mcq,"[13.41, 20.46, 21.66, 22.35]",3,Following the pattern: 80 + 65 = (10 × 2.235) = 22.35.,Ratio & Proportion,mixed
