id,text,type,options_json,correct_index,explanation,topic,difficulty
1,"In a row of 8 people facing North, the left-to-right order is:
H, G, D, A, C, B, E, F.
Who sits 2 seats to the right of G?",mcq,"[""G"",""A"",""E"",""F""]",1,Read the fixed order carefully and map the required position.,Seating Arrangements,mixed
2,"In a row of 8 people facing North, the left-to-right order is:
D, G, C, A, H, B, E, F.
Who sits between D and C?",mcq,"[""A"",""C"",""F"",""G""]",3,Read the fixed order carefully and map the required position.,Seating Arrangements,mixed
3,"In a row of 6 people facing North, the left-to-right order is:
E, F, D, C, A, B.
Who sits between E and D?",mcq,"[""D"",""F"",""E"",""B""]",1,Read the fixed order carefully and map the required position.,Seating Arrangements,mixed
4,"In a row of 6 people facing North, the left-to-right order is:
F, A, D, C, B, E.
Who is at the extreme right end?",mcq,"[""D"",""E"",""B"",""F""]",1,Read the fixed order carefully and map the required position.,Seating Arrangements,mixed
5,"In a row of 8 people facing North, the left-to-right order is:
D, A, F, G, E, B, H, C.
Who sits immediately to the right of G?",mcq,"[""D"",""G"",""E"",""C""]",2,Read the fixed order carefully and map the required position.,Seating Arrangements,mixed
6,"In a row of 8 people facing North, the left-to-right order is:
B, C, D, E, F, A, G, H.
Who is at the extreme right end?",mcq,"[""A"",""D"",""G"",""H""]",3,Read the fixed order carefully and map the required position.,Seating Arrangements,mixed
7,"Boxes A, B, C, D, E are stacked from bottom to top as:
B < C < E < D < A (left is bottom, right is top).
Which box is the 2nd from the top?",mcq,"[""D"",""E"",""B"",""A""]",0,Trace positions carefully from the declared bottom/top.,Puzzles,mixed
8,"Boxes A, B, C, D, E are stacked from bottom to top as:
D < E < A < C < B (left is bottom, right is top).
Which box is at the bottom?",mcq,"[""A"",""B"",""E"",""D""]",3,Trace positions carefully from the declared bottom/top.,Puzzles,mixed
9,"Boxes A, B, C, D, E are stacked from bottom to top as:
B < A < E < C < D (left is bottom, right is top).
Which box is the 2nd from the top?",mcq,"[""B"",""C"",""A"",""E""]",1,Trace positions carefully from the declared bottom/top.,Puzzles,mixed
10,"Boxes A, B, C, D, E, F are stacked from bottom to top as:
B < C < A < F < D < E (left is bottom, right is top).
Which box is the 2nd from the top?",mcq,"[""B"",""F"",""D"",""E""]",2,Trace positions carefully from the declared bottom/top.,Puzzles,mixed
11,"Boxes A, B, C, D, E, F are stacked from bottom to top as:
F < C < D < A < E < B (left is bottom, right is top).
Which box is on the top?",mcq,"[""B"",""C"",""E"",""A""]",0,Trace positions carefully from the declared bottom/top.,Puzzles,mixed
12,"Boxes A, B, C, D, E are stacked from bottom to top as:
A < C < D < B < E (left is bottom, right is top).
Which box is at the bottom?",mcq,"[""D"",""A"",""B"",""C""]",1,Trace positions carefully from the declared bottom/top.,Puzzles,mixed
13,"All drivers are chefs. Some chefs are poets.
Which conclusion follows?",mcq,"[""Some drivers may be poets."",""All poets are drivers."",""No drivers is poets."",""Some poets are drivers.""]",0,"From All X⊆Y and Some Y∩Z ≠ ∅, it is possible (may be) that Some X are Z.",Syllogisms,mixed
14,"All scientists are doctors. Some doctors are pilots.
Which conclusion follows?",mcq,"[""Some scientists may be pilots."",""All pilots are scientists."",""No scientists is pilots."",""Some pilots are scientists.""]",0,"From All X⊆Y and Some Y∩Z ≠ ∅, it is possible (may be) that Some X are Z.",Syllogisms,mixed
15,"All drivers are engineers. Some engineers are leaders.
Which conclusion follows?",mcq,"[""Some drivers may be leaders."",""All leaders are drivers."",""No drivers is leaders."",""Some leaders are drivers.""]",0,"From All X⊆Y and Some Y∩Z ≠ ∅, it is possible (may be) that Some X are Z.",Syllogisms,mixed
16,"All scientists are doctors. Some doctors are chefs.
Which conclusion follows?",mcq,"[""Some scientists may be chefs."",""All chefs are scientists."",""No scientists is chefs."",""Some chefs are scientists.""]",0,"From All X⊆Y and Some Y∩Z ≠ ∅, it is possible (may be) that Some X are Z.",Syllogisms,mixed
17,"All teachers are artists. Some artists are readers.
Which conclusion follows?",mcq,"[""Some teachers may be readers."",""All readers are teachers."",""No teachers is readers."",""Some readers are teachers.""]",0,"From All X⊆Y and Some Y∩Z ≠ ∅, it is possible (may be) that Some X are Z.",Syllogisms,mixed
18,"All singers are leaders. Some leaders are students.
Which conclusion follows?",mcq,"[""Some singers may be students."",""All students are singers."",""No singers is students."",""Some students are singers.""]",0,"From All X⊆Y and Some Y∩Z ≠ ∅, it is possible (may be) that Some X are Z.",Syllogisms,mixed
19,"In a certain code, the value of a word is the sum of its letter positions (A=1, B=2, ...).
If ""QUEUE"" is written as 69, what is ""CAT"" written as?",mcq,"[""26"",""25"",""24"",""23""]",2,Add alphabet positions of letters in the word.,Coding–Decoding,mixed
20,"In a certain code, the value of a word is the sum of its letter positions (A=1, B=2, ...).
If ""QUIZ"" is written as 73, what is ""DOG"" written as?",mcq,"[""25"",""26"",""27"",""28""]",1,Add alphabet positions of letters in the word.,Coding–Decoding,mixed
21,"In a certain code, the value of a word is the sum of its letter positions (A=1, B=2, ...).
If ""BRAIN"" is written as 44, what is ""LOGIC"" written as?",mcq,"[""45"",""48"",""46"",""47""]",2,Add alphabet positions of letters in the word.,Coding–Decoding,mixed
22,"In a certain code, the value of a word is the sum of its letter positions (A=1, B=2, ...).
If ""QUEUE"" is written as 69, what is ""MATH"" written as?",mcq,"[""42"",""43"",""41"",""44""]",0,Add alphabet positions of letters in the word.,Coding–Decoding,mixed
23,"In a certain code, the value of a word is the sum of its letter positions (A=1, B=2, ...).
If ""ARRAY"" is written as 63, what is ""MATH"" written as?",mcq,"[""43"",""42"",""41"",""44""]",1,Add alphabet positions of letters in the word.,Coding–Decoding,mixed
24,"In a certain code, the value of a word is the sum of its letter positions (A=1, B=2, ...).
If ""BRAIN"" is written as 44, what is ""STACK"" written as?",mcq,"[""54"",""53"",""56"",""55""]",0,Add alphabet positions of letters in the word.,Coding–Decoding,mixed
25,"Find the next number: 12, 16, 15, 19, 18 , ?",mcq,"[""21"",""22"",""23"",""24""]",1,"Alternating +4, -1.",Series,mixed
