id,text,type,options_json,correct_index,explanation,topic,difficulty
1,"In a row of 6 people facing North, the left-to-right order is:
E, A, B, C, D, F.
Who sits immediately to the right of A?",mcq,"[""E"",""A"",""F"",""B""]",3,Read the fixed order carefully and map the required position.,Seating Arrangements,mixed
2,"In a row of 8 people facing North, the left-to-right order is:
H, D, E, A, B, G, F, C.
Who is at the extreme right end?",mcq,"[""A"",""E"",""D"",""C""]",3,Read the fixed order carefully and map the required position.,Seating Arrangements,mixed
3,"In a row of 8 people facing North, the left-to-right order is:
H, G, E, D, A, F, C, B.
Who sits immediately to the right of E?",mcq,"[""B"",""D"",""A"",""H""]",1,Read the fixed order carefully and map the required position.,Seating Arrangements,mixed
4,"In a row of 6 people facing North, the left-to-right order is:
A, F, C, B, E, D.
Who sits between A and C?",mcq,"[""E"",""B"",""F"",""A""]",2,Read the fixed order carefully and map the required position.,Seating Arrangements,mixed
5,"In a row of 6 people facing North, the left-to-right order is:
F, C, A, D, E, B.
Who is at the extreme left end?",mcq,"[""C"",""F"",""B"",""A""]",1,Read the fixed order carefully and map the required position.,Seating Arrangements,mixed
6,"In a row of 8 people facing North, the left-to-right order is:
E, D, C, H, F, A, G, B.
Who is at the extreme left end?",mcq,"[""B"",""D"",""A"",""E""]",3,Read the fixed order carefully and map the required position.,Seating Arrangements,mixed
7,"Boxes A, B, C, D, E are stacked from bottom to top as:
E < C < D < A < B (left is bottom, right is top).
Which box is at the bottom?",mcq,"[""B"",""C"",""E"",""D""]",2,Trace positions carefully from the declared bottom/top.,Puzzles,mixed
8,"Boxes A, B, C, D, E are stacked from bottom to top as:
B < A < D < C < E (left is bottom, right is top).
Which box is the 2nd from the bottom?",mcq,"[""C"",""D"",""B"",""A""]",3,Trace positions carefully from the declared bottom/top.,Puzzles,mixed
9,"Boxes A, B, C, D, E, F are stacked from bottom to top as:
E < A < B < F < C < D (left is bottom, right is top).
Which box is at the bottom?",mcq,"[""C"",""D"",""A"",""E""]",3,Trace positions carefully from the declared bottom/top.,Puzzles,mixed
10,"Boxes A, B, C, D, E are stacked from bottom to top as:
E < D < C < A < B (left is bottom, right is top).
Which box is the 2nd from the top?",mcq,"[""A"",""E"",""D"",""C""]",0,Trace positions carefully from the declared bottom/top.,Puzzles,mixed
