id,text,type,options_json,correct_index,explanation,topic,difficulty
1,Find LCM of 12 and 12.,mcq,"[""14"",""11"",""12"",""12""]",2,,Number System,mixed
2,Find LCM of 23 and 22.,mcq,"[""504"",""508"",""506"",""505""]",2,,Number System,mixed
3,55 is what percent of 96?,mcq,"[""62.29"",""174.55"",""52.29"",""57.29""]",3,,Percentages,mixed
4,73 is what percent of 134?,mcq,"[""54.48"",""59.48"",""183.56"",""49.48""]",0,,Percentages,mixed
5,"Cost price = ₹407, Profit = 21%. Find selling price.",mcq,"[""502.47"",""482.47"",""321.53"",""492.47""]",3,,Profit & Loss,mixed
6,"Cost price = ₹420, Profit = 17%. Find selling price.",mcq,"[""491.4"",""348.6"",""501.4"",""481.4""]",0,,Profit & Loss,mixed
7,"Find average of 45, 50, 34, 23.",mcq,"[""39"",""38"",""43"",""37""]",1,,Average,mixed
8,"Find average of 39, 27, 34, 20.",mcq,"[""29"",""31"",""33.33"",""30""]",3,,Average,mixed
9,Divide ₹180 in the ratio 2:8. Share of first person?,mcq,"[""144"",""36"",""90"",""180""]",1,,Ratio & Proportion,mixed
10,Divide ₹394 in the ratio 4:4. Share of first person?,mcq,"[""197"",""197"",""197"",""394""]",0,,Ratio & Proportion,mixed
11,Equal volumes of 20% and 55% salt solutions are mixed. Final concentration?,mcq,"[""55"",""37.5"",""42.5"",""20""]",1,Weighted average of equal volumes is mean.,Mixtures,mixed
12,Equal volumes of 23% and 57% salt solutions are mixed. Final concentration?,mcq,"[""40"",""57"",""23"",""45""]",0,Weighted average of equal volumes is mean.,Mixtures,mixed
13,"A can finish in 8 days, B in 12 days. In how many days together?",mcq,"[""8"",""20"",""4.8"",""12""]",2,1/T=1/a+1/b,Time & Work,mixed
14,"A can finish in 10 days, B in 15 days. In how many days together?",mcq,"[""6"",""10"",""15"",""25""]",0,1/T=1/a+1/b,Time & Work,mixed
15,A car at 54 km/h for 4 h covers how many km?,mcq,"[""58"",""226"",""216"",""206""]",2,,Speed–Distance–Time,mixed
16,A car at 60 km/h for 6 h covers how many km?,mcq,"[""360"",""66"",""370"",""350""]",0,,Speed–Distance–Time,mixed
17,Two pipes fill a tank in 12 min and 15 min. Together time? (min),mcq,"[""27"",""6.67"",""180"",""15""]",1,Same as Work.,Pipes & Cisterns,mixed
18,Two pipes fill a tank in 12 min and 14 min. Together time? (min),mcq,"[""14"",""168"",""6.46"",""26""]",2,Same as Work.,Pipes & Cisterns,mixed
19,Solve: 9x + 12 = 15. Find x.,mcq,"[""3"",""1.33"",""-0.6699999999999999"",""0.33""]",3,,Algebra,mixed
20,Solve: 8x + 12 = 45. Find x.,mcq,"[""7.125"",""3.13"",""4.13"",""5.13""]",2,,Algebra,mixed
21,"In a triangle, two angles are 38° and 57°. Find the third angle.",mcq,"[""85"",""142"",""90"",""123""]",0,,Geometry,mixed
22,"In a triangle, two angles are 41° and 55°. Find the third angle.",mcq,"[""125"",""84"",""90"",""139""]",1,,Geometry,mixed
23,"At 45° elevation, a tower is seen from 32 m away. Height of tower?",mcq,"[""16"",""64"",""32"",""37""]",2,tan45°=1 → h=d,Height & Distance,mixed
24,"At 45° elevation, a tower is seen from 44 m away. Height of tower?",mcq,"[""22"",""49"",""44"",""88""]",2,tan45°=1 → h=d,Height & Distance,mixed
25,"Area of circle (r=12 cm), use π=22/7.",mcq,"[""453"",""905"",""75"",""475""]",0,,Mensuration,mixed
26,"Area of circle (r=12 cm), use π=22/7.",mcq,"[""475"",""75"",""453"",""905""]",2,,Mensuration,mixed
27,"Distance between (1,1) and (7,5).",mcq,"[""4"",""10"",""6"",""7.21""]",3,,Co-ordinate Geometry,mixed
28,"Distance between (2,2) and (6,6).",mcq,"[""4"",""4"",""5.66"",""8""]",2,,Co-ordinate Geometry,mixed
29,How many combinations: 7C2?,mcq,"[""21"",""7"",""24"",""42""]",0,,Permutations & Combinations,mixed
30,How many combinations: 8C2?,mcq,"[""56"",""31"",""8"",""28""]",3,,Permutations & Combinations,mixed
31,A fair die is rolled. Probability of a prime number?,mcq,"[""1/2"",""1/6"",""2/3"",""1/3""]",0,,Probability,mixed
32,A fair die is rolled. Probability of a prime number?,mcq,"[""1/2"",""1/3"",""1/6"",""2/3""]",0,,Probability,mixed
33,Simple Interest on ₹1129 at 8% p.a. for 2 years?,mcq,"[""188"",""181"",""131"",""281""]",1,,Simple & Compound Interest,mixed
34,Simple Interest on ₹2290 at 11% p.a. for 2 years?,mcq,"[""532"",""604"",""504"",""454""]",2,,Simple & Compound Interest,mixed
35,Sum of ages = 34. Ratio 5:5. Elder's age?,mcq,"[""17"",""17"",""19"",""15""]",0,,Ages,mixed
36,Sum of ages = 36. Ratio 5:4. Elder's age?,mcq,"[""22"",""20"",""18"",""16""]",1,,Ages,mixed
