id,text,type,options_json,correct_index,explanation,topic,difficulty
1,Find LCM of 8 and 12.,mcq,"[""26"",""22"",""24"",""23""]",2,,Number System,mixed
2,Find LCM of 15 and 23.,mcq,"[""344"",""345"",""345"",""347""]",1,,Number System,mixed
3,81 is what percent of 96?,mcq,"[""79.38"",""118.52"",""89.38"",""84.38""]",3,,Percentages,mixed
4,50 is what percent of 192?,mcq,"[""384"",""26.04"",""31.04"",""21.04""]",1,,Percentages,mixed
5,"Cost price = ₹463, Profit = 15%. Find selling price.",mcq,"[""542.45"",""522.45"",""532.45"",""393.55""]",2,,Profit & Loss,mixed
6,"Cost price = ₹702, Profit = 19%. Find selling price.",mcq,"[""568.62"",""835.38"",""845.38"",""825.38""]",1,,Profit & Loss,mixed
7,"Find average of 49, 34, 10, 32.",mcq,"[""32.25"",""31.25"",""31"",""30.25""]",1,,Average,mixed
8,"Find average of 11, 22, 14, 11.",mcq,"[""15.67"",""13.5"",""15.5"",""14.5""]",3,,Average,mixed
9,Divide ₹253 in the ratio 9:2. Share of first person?,mcq,"[""207"",""126.5"",""46"",""253""]",0,,Ratio & Proportion,mixed
10,Divide ₹312 in the ratio 3:6. Share of first person?,mcq,"[""312"",""156"",""104"",""208""]",2,,Ratio & Proportion,mixed
11,Equal volumes of 25% and 50% salt solutions are mixed. Final concentration?,mcq,"[""25"",""42.5"",""50"",""37.5""]",3,Weighted average of equal volumes is mean.,Mixtures,mixed
12,Equal volumes of 10% and 67% salt solutions are mixed. Final concentration?,mcq,"[""10"",""38.5"",""43.5"",""67""]",1,Weighted average of equal volumes is mean.,Mixtures,mixed
13,"A can finish in 8 days, B in 13 days. In how many days together?",mcq,"[""4.95"",""8"",""21"",""13""]",0,1/T=1/a+1/b,Time & Work,mixed
14,"A can finish in 8 days, B in 13 days. In how many days together?",mcq,"[""13"",""21"",""8"",""4.95""]",3,1/T=1/a+1/b,Time & Work,mixed
15,A car at 61 km/h for 5 h covers how many km?,mcq,"[""305"",""315"",""66"",""295""]",0,,Speed–Distance–Time,mixed
16,A car at 60 km/h for 3 h covers how many km?,mcq,"[""180"",""170"",""63"",""190""]",0,,Speed–Distance–Time,mixed
17,Two pipes fill a tank in 12 min and 11 min. Together time? (min),mcq,"[""12"",""23"",""5.74"",""132""]",2,Same as Work.,Pipes & Cisterns,mixed
18,Two pipes fill a tank in 9 min and 9 min. Together time? (min),mcq,"[""18"",""9"",""81"",""4.5""]",3,Same as Work.,Pipes & Cisterns,mixed
19,Solve: 3x + 13 = 42. Find x.,mcq,"[""9.67"",""10.67"",""18.333333333333332"",""8.67""]",0,,Algebra,mixed
20,Solve: 7x + 4 = 17. Find x.,mcq,"[""0.8600000000000001"",""2.8600000000000003"",""1.86"",""3""]",2,,Algebra,mixed
21,"In a triangle, two angles are 35° and 63°. Find the third angle.",mcq,"[""145"",""82"",""117"",""90""]",1,,Geometry,mixed
22,"In a triangle, two angles are 67° and 57°. Find the third angle.",mcq,"[""56"",""90"",""113"",""123""]",0,,Geometry,mixed
23,"At 45° elevation, a tower is seen from 40 m away. Height of tower?",mcq,"[""80"",""20"",""40"",""45""]",2,tan45°=1 → h=d,Height & Distance,mixed
24,"At 45° elevation, a tower is seen from 36 m away. Height of tower?",mcq,"[""36"",""72"",""18"",""41""]",0,tan45°=1 → h=d,Height & Distance,mixed
25,"Area of circle (r=13 cm), use π=22/7.",mcq,"[""553"",""82"",""531"",""1062""]",2,,Mensuration,mixed
26,"Area of circle (r=10 cm), use π=22/7.",mcq,"[""63"",""314"",""629"",""336""]",1,,Mensuration,mixed
