id,text,type,options_json,correct_index,explanation,topic,difficulty
1,Find LCM of 23 and 23.,mcq,"[""22"",""25"",""23"",""21""]",2,,Number System,mixed
2,Find LCM of 18 and 24.,mcq,"[""72"",""72"",""71"",""74""]",0,,Number System,mixed
3,26 is what percent of 116?,mcq,"[""22.41"",""27.41"",""17.41"",""446.15""]",0,,Percentages,mixed
4,84 is what percent of 119?,mcq,"[""75.59"",""141.67"",""65.59"",""70.59""]",3,,Percentages,mixed
5,"Cost price = ₹152, Profit = 27%. Find selling price.",mcq,"[""203.04"",""110.96"",""193.04"",""183.04""]",2,,Profit & Loss,mixed
6,"Cost price = ₹450, Profit = 9%. Find selling price.",mcq,"[""500.5"",""490.5"",""409.5"",""480.5""]",1,,Profit & Loss,mixed
7,"Find average of 31, 17, 41, 35.",mcq,"[""32"",""29.67"",""31"",""30""]",2,,Average,mixed
8,"Find average of 43, 37, 24, 21.",mcq,"[""30.25"",""31.25"",""34.67"",""32.25""]",1,,Average,mixed
9,Divide ₹370 in the ratio 7:6. Share of first person?,mcq,"[""185"",""170.77"",""370"",""199.23""]",3,,Ratio & Proportion,mixed
10,Divide ₹357 in the ratio 9:2. Share of first person?,mcq,"[""357"",""292.09"",""178.5"",""64.91""]",1,,Ratio & Proportion,mixed
11,Equal volumes of 22% and 50% salt solutions are mixed. Final concentration?,mcq,"[""41"",""22"",""36"",""50""]",2,Weighted average of equal volumes is mean.,Mixtures,mixed
12,Equal volumes of 11% and 52% salt solutions are mixed. Final concentration?,mcq,"[""36.5"",""31.5"",""52"",""11""]",1,Weighted average of equal volumes is mean.,Mixtures,mixed
13,"A can finish in 10 days, B in 12 days. In how many days together?",mcq,"[""12"",""10"",""22"",""5.45""]",3,1/T=1/a+1/b,Time & Work,mixed
14,"A can finish in 6 days, B in 12 days. In how many days together?",mcq,"[""18"",""4"",""12"",""6""]",1,1/T=1/a+1/b,Time & Work,mixed
15,A car at 45 km/h for 6 h covers how many km?,mcq,"[""270"",""260"",""280"",""51""]",0,,Speed–Distance–Time,mixed
16,A car at 37 km/h for 6 h covers how many km?,mcq,"[""43"",""222"",""232"",""212""]",1,,Speed–Distance–Time,mixed
17,Two pipes fill a tank in 6 min and 12 min. Together time? (min),mcq,"[""12"",""72"",""4"",""18""]",2,Same as Work.,Pipes & Cisterns,mixed
18,Two pipes fill a tank in 11 min and 9 min. Together time? (min),mcq,"[""99"",""11"",""20"",""4.95""]",3,Same as Work.,Pipes & Cisterns,mixed
19,Solve: 3x + 6 = 50. Find x.,mcq,"[""15.67"",""18.666666666666668"",""13.67"",""14.67""]",3,,Algebra,mixed
20,Solve: 3x + 10 = 15. Find x.,mcq,"[""2.67"",""8.333333333333334"",""1.67"",""0.6699999999999999""]",2,,Algebra,mixed
21,"In a triangle, two angles are 33° and 57°. Find the third angle.",mcq,"[""90"",""90"",""123"",""147""]",0,,Geometry,mixed
22,"In a triangle, two angles are 63° and 33°. Find the third angle.",mcq,"[""84"",""117"",""90"",""147""]",0,,Geometry,mixed
23,"At 45° elevation, a tower is seen from 32 m away. Height of tower?",mcq,"[""37"",""32"",""64"",""16""]",1,tan45°=1 → h=d,Height & Distance,mixed
