id,text,type,options_json,correct_index,explanation,topic,difficulty
1,Find LCM of 19 and 9.,mcq,"[""170"",""170"",""171"",""173""]",2,,Number System,mixed
2,Find LCM of 16 and 23.,mcq,"[""368"",""370"",""367"",""367""]",0,,Number System,mixed
3,70 is what percent of 123?,mcq,"[""175.71"",""61.91"",""51.91"",""56.91""]",3,,Percentages,mixed
4,49 is what percent of 61?,mcq,"[""85.33"",""80.33"",""75.33"",""124.49""]",1,,Percentages,mixed
5,"Cost price = ₹233, Profit = 23%. Find selling price.",mcq,"[""286.59"",""296.59"",""276.59"",""179.41""]",0,,Profit & Loss,mixed
6,"Cost price = ₹759, Profit = 33%. Find selling price.",mcq,"[""508.53"",""999.47"",""1009.47"",""1019.47""]",2,,Profit & Loss,mixed
7,"Find average of 38, 48, 30, 44.",mcq,"[""39"",""41"",""38.67"",""40""]",3,,Average,mixed
8,"Find average of 25, 35, 25, 48.",mcq,"[""34.25"",""28.33"",""33.25"",""32.25""]",2,,Average,mixed
9,Divide ₹134 in the ratio 8:3. Share of first person?,mcq,"[""67"",""134"",""36.55"",""97.45""]",3,,Ratio & Proportion,mixed
10,Divide ₹392 in the ratio 2:4. Share of first person?,mcq,"[""392"",""196"",""130.67"",""261.33""]",2,,Ratio & Proportion,mixed
11,Equal volumes of 30% and 61% salt solutions are mixed. Final concentration?,mcq,"[""61"",""30"",""45.5"",""50.5""]",2,Weighted average of equal volumes is mean.,Mixtures,mixed
12,Equal volumes of 28% and 67% salt solutions are mixed. Final concentration?,mcq,"[""28"",""52.5"",""47.5"",""67""]",2,Weighted average of equal volumes is mean.,Mixtures,mixed
13,"A can finish in 8 days, B in 14 days. In how many days together?",mcq,"[""14"",""8"",""22"",""5.09""]",3,1/T=1/a+1/b,Time & Work,mixed
14,"A can finish in 9 days, B in 8 days. In how many days together?",mcq,"[""4.24"",""9"",""17"",""8""]",0,1/T=1/a+1/b,Time & Work,mixed
15,A car at 60 km/h for 3 h covers how many km?,mcq,"[""170"",""180"",""190"",""63""]",1,,Speed–Distance–Time,mixed
