id,topic_slug,type,text,options_json,correct_index,answer,explanation,difficulty,marks,negative_marks,tags
1,rc,mcq,"Passage:
A small library launched a 'take-a-book, leave-a-book' shelf. Over time, readers curated the shelf with diverse titles, and the habit built a friendly ritual around sharing stories.

Q: The shelf policy was:","[""Paid borrowing"",""Members-only"",""Take & leave"",""No returns""]",2,Take & leave,Answer follows directly from the passage.,mixed,1,0,
2,rc,mcq,"Passage:
A small library launched a 'take-a-book, leave-a-book' shelf. Over time, readers curated the shelf with diverse titles, and the habit built a friendly ritual around sharing stories.

Q: Result of the initiative?","[""Less diversity"",""Fewer visits"",""Hostile debates"",""Friendly ritual""]",3,Friendly ritual,Answer follows directly from the passage.,mixed,1,0,
3,rc,mcq,"Passage:
A small library launched a 'take-a-book, leave-a-book' shelf. Over time, readers curated the shelf with diverse titles, and the habit built a friendly ritual around sharing stories.

Q: Who curated the shelf?","[""Publishers"",""Librarians only"",""Readers"",""Sponsors""]",2,Readers,Answer follows directly from the passage.,mixed,1,0,
4,rc,mcq,"Passage:
An urban farm turned unused rooftops into vegetable patches. Volunteers learned soil care and irrigation, and nearby schools used the site for hands-on lessons about food systems.

Q: What did rooftops become?","[""Solar fields"",""Vegetable patches"",""Playgrounds"",""Parking""]",1,Vegetable patches,Answer follows directly from the passage.,mixed,1,0,
5,rc,mcq,"Passage:
An urban farm turned unused rooftops into vegetable patches. Volunteers learned soil care and irrigation, and nearby schools used the site for hands-on lessons about food systems.

Q: Who learned soil care?","[""Tourists"",""Volunteers"",""Vendors"",""Police""]",1,Volunteers,Answer follows directly from the passage.,mixed,1,0,
6,rc,mcq,"Passage:
An urban farm turned unused rooftops into vegetable patches. Volunteers learned soil care and irrigation, and nearby schools used the site for hands-on lessons about food systems.

Q: Schools used the site for:","[""Sports"",""Food-system lessons"",""Parking"",""Cafeterias""]",1,Food-system lessons,Answer follows directly from the passage.,mixed,1,0,
7,cloze-test,mcq,"Cloze Passage:
The committee {1} to publish its findings after all data {2}. While the summary is {3}, the full report {4} technical details that {5} careful reading and {6}.

Fill {1}:","[""plans"",""planned"",""planning"",""plan""]",0,plans,Use context to choose the best fit.,mixed,1,0,
8,cloze-test,mcq,"Cloze Passage:
The committee {1} to publish its findings after all data {2}. While the summary is {3}, the full report {4} technical details that {5} careful reading and {6}.

Fill {2}:","[""arriving"",""arrived"",""arrives"",""arrive""]",2,arrives,Use context to choose the best fit.,mixed,1,0,
9,cloze-test,mcq,"Cloze Passage:
The committee {1} to publish its findings after all data {2}. While the summary is {3}, the full report {4} technical details that {5} careful reading and {6}.

Fill {3}:","[""accessible"",""accessed"",""access"",""accessing""]",0,accessible,Use context to choose the best fit.,mixed,1,0,
10,cloze-test,mcq,"Cloze Passage:
The committee {1} to publish its findings after all data {2}. While the summary is {3}, the full report {4} technical details that {5} careful reading and {6}.

Fill {4}:","[""contains"",""containing"",""contained"",""contain""]",0,contains,Use context to choose the best fit.,mixed,1,0,
11,cloze-test,mcq,"Cloze Passage:
The committee {1} to publish its findings after all data {2}. While the summary is {3}, the full report {4} technical details that {5} careful reading and {6}.

Fill {5}:","[""require"",""required"",""requiring"",""requires""]",0,require,Use context to choose the best fit.,mixed,1,0,
12,cloze-test,mcq,"Cloze Passage:
The committee {1} to publish its findings after all data {2}. While the summary is {3}, the full report {4} technical details that {5} careful reading and {6}.

Fill {6}:","[""reviewed"",""reviewing"",""reviews"",""review""]",3,review,Use context to choose the best fit.,mixed,1,0,
13,fill-blanks,mcq,"This problem is tough, _____ we can solve it together.","[""but"",""so"",""and"",""or""]",0,but,The correct preposition/conjunction is “but”.,mixed,1,0,
14,fill-blanks,mcq,I agree _____ your proposal.,"[""on"",""at"",""to"",""with""]",3,with,The correct preposition/conjunction is “with”.,mixed,1,0,
15,vocabulary,mcq,Choose the synonym of “prudent”.,"[""careful"",""elusive"",""cumbersome"",""docile""]",0,careful,“careful” means nearly the same as “prudent”.,mixed,1,0,
16,vocabulary,mcq,Choose the synonym of “tranquil”.,"[""docile"",""swift"",""peculiar"",""calm""]",3,calm,“calm” means nearly the same as “tranquil”.,mixed,1,0,
