id,topic_slug,type,text,options_json,correct_index,answer,explanation,difficulty,marks,negative_marks,tags
1,rc,mcq,"Passage:
The city introduced a weekly car-free hour on major roads to encourage walking and cycling. Local shops reported higher footfall, while residents noted clearer air and a calmer soundscape.

Q: Primary purpose of the measure?","[""Reduce noise"",""Encourage active travel"",""Lower taxes"",""Increase tourism""]",1,Encourage active travel,Answer follows directly from the passage.,mixed,1,0,
2,rc,mcq,"Passage:
The city introduced a weekly car-free hour on major roads to encourage walking and cycling. Local shops reported higher footfall, while residents noted clearer air and a calmer soundscape.

Q: Immediate effect on shops?","[""Lower sales"",""No change"",""Higher footfall"",""Closed early""]",2,Higher footfall,Answer follows directly from the passage.,mixed,1,0,
3,rc,mcq,"Passage:
The city introduced a weekly car-free hour on major roads to encourage walking and cycling. Local shops reported higher footfall, while residents noted clearer air and a calmer soundscape.

Q: Residents mainly noticed:","[""More traffic"",""Clearer air"",""Longer commutes"",""Heavier rainfall""]",1,Clearer air,Answer follows directly from the passage.,mixed,1,0,
4,rc,mcq,"Passage:
A coastal town mapped its flood-prone lanes and installed raised walkways for the rainy season. The plan kept markets open and allowed emergency services to navigate safely.

Q: Why raised walkways?","[""Decoration"",""Festival"",""Rainy-season access"",""Tourism""]",2,Rainy-season access,Answer follows directly from the passage.,mixed,1,0,
5,rc,mcq,"Passage:
A coastal town mapped its flood-prone lanes and installed raised walkways for the rainy season. The plan kept markets open and allowed emergency services to navigate safely.

Q: Markets:","[""Closed often"",""Stayed open"",""Moved inland"",""Were demolished""]",1,Stayed open,Answer follows directly from the passage.,mixed,1,0,
6,rc,mcq,"Passage:
A coastal town mapped its flood-prone lanes and installed raised walkways for the rainy season. The plan kept markets open and allowed emergency services to navigate safely.

Q: Emergency services could:","[""Avoid the town"",""Navigate safely"",""Only use boats"",""Do nothing""]",1,Navigate safely,Answer follows directly from the passage.,mixed,1,0,
7,cloze-test,mcq,"Cloze Passage:
The committee {1} to publish its findings after all data {2}. While the summary is {3}, the full report {4} technical details that {5} careful reading and {6}.

Fill {1}:","[""plan"",""plans"",""planning"",""planned""]",1,plans,Use context to choose the best fit.,mixed,1,0,
8,cloze-test,mcq,"Cloze Passage:
The committee {1} to publish its findings after all data {2}. While the summary is {3}, the full report {4} technical details that {5} careful reading and {6}.

Fill {2}:","[""arrive"",""arrived"",""arrives"",""arriving""]",2,arrives,Use context to choose the best fit.,mixed,1,0,
9,cloze-test,mcq,"Cloze Passage:
The committee {1} to publish its findings after all data {2}. While the summary is {3}, the full report {4} technical details that {5} careful reading and {6}.

Fill {3}:","[""accessible"",""accessing"",""access"",""accessed""]",0,accessible,Use context to choose the best fit.,mixed,1,0,
10,cloze-test,mcq,"Cloze Passage:
The committee {1} to publish its findings after all data {2}. While the summary is {3}, the full report {4} technical details that {5} careful reading and {6}.

Fill {4}:","[""contains"",""contained"",""contain"",""containing""]",0,contains,Use context to choose the best fit.,mixed,1,0,
11,cloze-test,mcq,"Cloze Passage:
The committee {1} to publish its findings after all data {2}. While the summary is {3}, the full report {4} technical details that {5} careful reading and {6}.

Fill {5}:","[""requires"",""require"",""required"",""requiring""]",1,require,Use context to choose the best fit.,mixed,1,0,
12,cloze-test,mcq,"Cloze Passage:
The committee {1} to publish its findings after all data {2}. While the summary is {3}, the full report {4} technical details that {5} careful reading and {6}.

Fill {6}:","[""reviews"",""review"",""reviewing"",""reviewed""]",1,review,Use context to choose the best fit.,mixed,1,0,
13,fill-blanks,mcq,We look forward _____ your reply.,"[""to"",""at"",""for"",""on""]",0,to,The correct preposition/conjunction is “to”.,mixed,1,0,
14,fill-blanks,mcq,He is known _____ his honesty.,"[""for"",""by"",""to"",""with""]",0,for,The correct preposition/conjunction is “for”.,mixed,1,0,
15,vocabulary,mcq,Choose the synonym of “impartial”.,"[""neutral"",""elusive"",""ardent"",""colorful""]",0,neutral,“neutral” means nearly the same as “impartial”.,mixed,1,0,
16,vocabulary,mcq,Choose the synonym of “tranquil”.,"[""elusive"",""calm"",""luminous"",""tedious""]",1,calm,“calm” means nearly the same as “tranquil”.,mixed,1,0,
17,vocabulary,mcq,Choose the synonym of “candid”.,"[""frank"",""luminous"",""vague"",""trivial""]",0,frank,“frank” means nearly the same as “candid”.,mixed,1,0,
18,vocabulary,mcq,Choose the synonym of “meticulous”.,"[""ardent"",""luminous"",""precise"",""peculiar""]",2,precise,“precise” means nearly the same as “meticulous”.,mixed,1,0,
19,vocabulary,mcq,Choose the synonym of “amiable”.,"[""swift"",""peculiar"",""friendly"",""massive""]",2,friendly,“friendly” means nearly the same as “amiable”.,mixed,1,0,
20,vocabulary,mcq,Choose the synonym of “diligent”.,"[""massive"",""infrequent"",""hardworking"",""coarse""]",2,hardworking,“hardworking” means nearly the same as “diligent”.,mixed,1,0,
21,vocabulary,mcq,Choose the antonym of “amiable”.,"[""hostile"",""infrequent"",""obsolete"",""trivial""]",0,hostile,“hostile” is the opposite of “amiable”.,mixed,1,0,
22,vocabulary,mcq,Choose the antonym of “candid”.,"[""infrequent"",""elusive"",""brisk"",""evasive""]",3,evasive,“evasive” is the opposite of “candid”.,mixed,1,0,
23,vocabulary,mcq,Choose the antonym of “prudent”.,"[""coarse"",""brisk"",""reckless"",""ardent""]",2,reckless,“reckless” is the opposite of “prudent”.,mixed,1,0,
24,vocabulary,mcq,Choose the antonym of “abundant”.,"[""sturdy"",""luminous"",""scarce"",""docile""]",2,scarce,“scarce” is the opposite of “abundant”.,mixed,1,0,
25,one-word,mcq,One-word substitute: One who does something for the first time,"[""Hedonist"",""Oligarchy"",""Impromptu"",""Pioneer""]",3,Pioneer,Pioneer fits the description.,mixed,1,0,
