id,topic_slug,type,text,options_json,correct_index,answer,explanation,difficulty,marks,negative_marks,tags
1,rc,mcq,"Passage:
The city introduced a weekly car-free hour on major roads to encourage walking and cycling. Local shops reported higher footfall, while residents noted clearer air and a calmer soundscape.

Q: Primary purpose of the measure?","[""Reduce noise"",""Encourage active travel"",""Lower taxes"",""Increase tourism""]",1,Encourage active travel,Answer follows directly from the passage.,mixed,1,0,
2,rc,mcq,"Passage:
The city introduced a weekly car-free hour on major roads to encourage walking and cycling. Local shops reported higher footfall, while residents noted clearer air and a calmer soundscape.

Q: Immediate effect on shops?","[""Lower sales"",""No change"",""Higher footfall"",""Closed early""]",2,Higher footfall,Answer follows directly from the passage.,mixed,1,0,
3,rc,mcq,"Passage:
The city introduced a weekly car-free hour on major roads to encourage walking and cycling. Local shops reported higher footfall, while residents noted clearer air and a calmer soundscape.

Q: Residents mainly noticed:","[""More traffic"",""Clearer air"",""Longer commutes"",""Heavier rainfall""]",1,Clearer air,Answer follows directly from the passage.,mixed,1,0,
4,rc,mcq,"Passage:
An urban farm turned unused rooftops into vegetable patches. Volunteers learned soil care and irrigation, and nearby schools used the site for hands-on lessons about food systems.

Q: What did rooftops become?","[""Solar fields"",""Vegetable patches"",""Playgrounds"",""Parking""]",1,Vegetable patches,Answer follows directly from the passage.,mixed,1,0,
5,rc,mcq,"Passage:
An urban farm turned unused rooftops into vegetable patches. Volunteers learned soil care and irrigation, and nearby schools used the site for hands-on lessons about food systems.

Q: Who learned soil care?","[""Tourists"",""Volunteers"",""Vendors"",""Police""]",1,Volunteers,Answer follows directly from the passage.,mixed,1,0,
6,rc,mcq,"Passage:
An urban farm turned unused rooftops into vegetable patches. Volunteers learned soil care and irrigation, and nearby schools used the site for hands-on lessons about food systems.

Q: Schools used the site for:","[""Sports"",""Food-system lessons"",""Parking"",""Cafeterias""]",1,Food-system lessons,Answer follows directly from the passage.,mixed,1,0,
7,cloze-test,mcq,"Cloze Passage:
The committee {1} to publish its findings after all data {2}. While the summary is {3}, the full report {4} technical details that {5} careful reading and {6}.

Fill {1}:","[""planning"",""plan"",""planned"",""plans""]",3,plans,Use context to choose the best fit.,mixed,1,0,
8,cloze-test,mcq,"Cloze Passage:
The committee {1} to publish its findings after all data {2}. While the summary is {3}, the full report {4} technical details that {5} careful reading and {6}.

Fill {2}:","[""arrives"",""arriving"",""arrive"",""arrived""]",0,arrives,Use context to choose the best fit.,mixed,1,0,
9,cloze-test,mcq,"Cloze Passage:
The committee {1} to publish its findings after all data {2}. While the summary is {3}, the full report {4} technical details that {5} careful reading and {6}.

Fill {3}:","[""access"",""accessible"",""accessing"",""accessed""]",1,accessible,Use context to choose the best fit.,mixed,1,0,
10,cloze-test,mcq,"Cloze Passage:
The committee {1} to publish its findings after all data {2}. While the summary is {3}, the full report {4} technical details that {5} careful reading and {6}.

Fill {4}:","[""contain"",""containing"",""contains"",""contained""]",2,contains,Use context to choose the best fit.,mixed,1,0,
11,cloze-test,mcq,"Cloze Passage:
The committee {1} to publish its findings after all data {2}. While the summary is {3}, the full report {4} technical details that {5} careful reading and {6}.

Fill {5}:","[""requires"",""requiring"",""required"",""require""]",3,require,Use context to choose the best fit.,mixed,1,0,
12,cloze-test,mcq,"Cloze Passage:
The committee {1} to publish its findings after all data {2}. While the summary is {3}, the full report {4} technical details that {5} careful reading and {6}.

Fill {6}:","[""reviewed"",""reviewing"",""review"",""reviews""]",2,review,Use context to choose the best fit.,mixed,1,0,
13,fill-blanks,mcq,"This problem is tough, _____ we can solve it together.","[""so"",""but"",""and"",""or""]",1,but,The correct preposition/conjunction is “but”.,mixed,1,0,
14,fill-blanks,mcq,He is allergic _____ peanuts.,"[""with"",""at"",""for"",""to""]",3,to,The correct preposition/conjunction is “to”.,mixed,1,0,
15,vocabulary,mcq,Choose the synonym of “diligent”.,"[""obsolete"",""massive"",""brisk"",""hardworking""]",3,hardworking,“hardworking” means nearly the same as “diligent”.,mixed,1,0,
16,vocabulary,mcq,Choose the synonym of “frugal”.,"[""tedious"",""boisterous"",""luminous"",""thrifty""]",3,thrifty,“thrifty” means nearly the same as “frugal”.,mixed,1,0,
17,vocabulary,mcq,Choose the synonym of “concise”.,"[""swift"",""brief"",""luminous"",""trivial""]",1,brief,“brief” means nearly the same as “concise”.,mixed,1,0,
18,vocabulary,mcq,Choose the synonym of “succinct”.,"[""brisk"",""concise"",""colorful"",""coarse""]",1,concise,“concise” means nearly the same as “succinct”.,mixed,1,0,
19,vocabulary,mcq,Choose the synonym of “meticulous”.,"[""swift"",""precise"",""cumbersome"",""harsh""]",1,precise,“precise” means nearly the same as “meticulous”.,mixed,1,0,
20,vocabulary,mcq,Choose the synonym of “succinct”.,"[""peculiar"",""brisk"",""vague"",""concise""]",3,concise,“concise” means nearly the same as “succinct”.,mixed,1,0,
21,vocabulary,mcq,Choose the antonym of “diligent”.,"[""sturdy"",""lazy"",""docile"",""coarse""]",1,lazy,“lazy” is the opposite of “diligent”.,mixed,1,0,
22,vocabulary,mcq,Choose the antonym of “abundant”.,"[""scarce"",""infrequent"",""luminous"",""massive""]",0,scarce,“scarce” is the opposite of “abundant”.,mixed,1,0,
23,vocabulary,mcq,Choose the antonym of “succinct”.,"[""luminous"",""wordy"",""infrequent"",""colorful""]",1,wordy,“wordy” is the opposite of “succinct”.,mixed,1,0,
24,vocabulary,mcq,Choose the antonym of “candid”.,"[""docile"",""luminous"",""evasive"",""elusive""]",2,evasive,“evasive” is the opposite of “candid”.,mixed,1,0,
25,one-word,mcq,One-word substitute: A government by a few,"[""Bibliophile"",""Oligarchy"",""Panacea"",""Graphologist""]",1,Oligarchy,Oligarchy fits the description.,mixed,1,0,
