id,topic_slug,type,text,options_json,correct_index,answer,explanation,difficulty,marks,negative_marks,tags
1,rc,mcq,"Passage:
A science museum scheduled short 'demo hours' where staff explained one concept with simple props. Visitors stayed longer at these stations and reported better understanding.

Q: What are 'demo hours'?","[""Long lectures"",""Snack breaks"",""Short concept demos"",""Movie shows""]",2,Short concept demos,Answer follows directly from the passage.,mixed,1,0,
2,rc,mcq,"Passage:
A science museum scheduled short 'demo hours' where staff explained one concept with simple props. Visitors stayed longer at these stations and reported better understanding.

Q: Visitor behavior:","[""Left quickly"",""Stayed longer"",""Avoided stations"",""Ignored staff""]",1,Stayed longer,Answer follows directly from the passage.,mixed,1,0,
3,rc,mcq,"Passage:
A science museum scheduled short 'demo hours' where staff explained one concept with simple props. Visitors stayed longer at these stations and reported better understanding.

Q: Effect on understanding:","[""Worse"",""No change"",""Better"",""Unknown""]",2,Better,Answer follows directly from the passage.,mixed,1,0,
4,rc,mcq,"Passage:
A coastal town mapped its flood-prone lanes and installed raised walkways for the rainy season. The plan kept markets open and allowed emergency services to navigate safely.

Q: Why raised walkways?","[""Decoration"",""Festival"",""Rainy-season access"",""Tourism""]",2,Rainy-season access,Answer follows directly from the passage.,mixed,1,0,
5,rc,mcq,"Passage:
A coastal town mapped its flood-prone lanes and installed raised walkways for the rainy season. The plan kept markets open and allowed emergency services to navigate safely.

Q: Markets:","[""Closed often"",""Stayed open"",""Moved inland"",""Were demolished""]",1,Stayed open,Answer follows directly from the passage.,mixed,1,0,
6,rc,mcq,"Passage:
A coastal town mapped its flood-prone lanes and installed raised walkways for the rainy season. The plan kept markets open and allowed emergency services to navigate safely.

Q: Emergency services could:","[""Avoid the town"",""Navigate safely"",""Only use boats"",""Do nothing""]",1,Navigate safely,Answer follows directly from the passage.,mixed,1,0,
7,cloze-test,mcq,"Cloze Passage:
When teams {1} goals early, they {2} momentum. Regular check-ins {3} issues quickly, {4} delays. Clear roles {5} confusion and {6} ownership across members.

Fill {1}:","[""set"",""setting"",""sets"",""settle""]",0,set,Use context to choose the best fit.,mixed,1,0,
8,cloze-test,mcq,"Cloze Passage:
When teams {1} goals early, they {2} momentum. Regular check-ins {3} issues quickly, {4} delays. Clear roles {5} confusion and {6} ownership across members.

Fill {2}:","[""builds"",""building"",""build"",""built""]",2,build,Use context to choose the best fit.,mixed,1,0,
9,cloze-test,mcq,"Cloze Passage:
When teams {1} goals early, they {2} momentum. Regular check-ins {3} issues quickly, {4} delays. Clear roles {5} confusion and {6} ownership across members.

Fill {3}:","[""surface"",""surfaces"",""surfacing"",""surfaced""]",0,surface,Use context to choose the best fit.,mixed,1,0,
10,cloze-test,mcq,"Cloze Passage:
When teams {1} goals early, they {2} momentum. Regular check-ins {3} issues quickly, {4} delays. Clear roles {5} confusion and {6} ownership across members.

Fill {4}:","[""reduced"",""reduces"",""reducing"",""reduce""]",2,reducing,Use context to choose the best fit.,mixed,1,0,
11,cloze-test,mcq,"Cloze Passage:
When teams {1} goals early, they {2} momentum. Regular check-ins {3} issues quickly, {4} delays. Clear roles {5} confusion and {6} ownership across members.

Fill {5}:","[""reduced"",""reduce"",""reduces"",""reducing""]",1,reduce,Use context to choose the best fit.,mixed,1,0,
12,cloze-test,mcq,"Cloze Passage:
When teams {1} goals early, they {2} momentum. Regular check-ins {3} issues quickly, {4} delays. Clear roles {5} confusion and {6} ownership across members.

Fill {6}:","[""increase"",""increased"",""increasing"",""increases""]",0,increase,Use context to choose the best fit.,mixed,1,0,
