id,topic_slug,type,text,options_json,correct_index,answer,explanation,difficulty,marks,negative_marks,tags
1,rc,mcq,"Passage:
A coastal town mapped its flood-prone lanes and installed raised walkways for the rainy season. The plan kept markets open and allowed emergency services to navigate safely.

Q: Why raised walkways?","[""Decoration"",""Festival"",""Rainy-season access"",""Tourism""]",2,Rainy-season access,Answer follows directly from the passage.,mixed,1,0,
2,rc,mcq,"Passage:
A coastal town mapped its flood-prone lanes and installed raised walkways for the rainy season. The plan kept markets open and allowed emergency services to navigate safely.

Q: Markets:","[""Closed often"",""Stayed open"",""Moved inland"",""Were demolished""]",1,Stayed open,Answer follows directly from the passage.,mixed,1,0,
3,rc,mcq,"Passage:
A coastal town mapped its flood-prone lanes and installed raised walkways for the rainy season. The plan kept markets open and allowed emergency services to navigate safely.

Q: Emergency services could:","[""Avoid the town"",""Navigate safely"",""Only use boats"",""Do nothing""]",1,Navigate safely,Answer follows directly from the passage.,mixed,1,0,
4,rc,mcq,"Passage:
The city introduced a weekly car-free hour on major roads to encourage walking and cycling. Local shops reported higher footfall, while residents noted clearer air and a calmer soundscape.

Q: Primary purpose of the measure?","[""Reduce noise"",""Encourage active travel"",""Lower taxes"",""Increase tourism""]",1,Encourage active travel,Answer follows directly from the passage.,mixed,1,0,
5,rc,mcq,"Passage:
The city introduced a weekly car-free hour on major roads to encourage walking and cycling. Local shops reported higher footfall, while residents noted clearer air and a calmer soundscape.

Q: Immediate effect on shops?","[""Lower sales"",""No change"",""Higher footfall"",""Closed early""]",2,Higher footfall,Answer follows directly from the passage.,mixed,1,0,
6,rc,mcq,"Passage:
The city introduced a weekly car-free hour on major roads to encourage walking and cycling. Local shops reported higher footfall, while residents noted clearer air and a calmer soundscape.

Q: Residents mainly noticed:","[""More traffic"",""Clearer air"",""Longer commutes"",""Heavier rainfall""]",1,Clearer air,Answer follows directly from the passage.,mixed,1,0,
7,cloze-test,mcq,"Cloze Passage:
The committee {1} to publish its findings after all data {2}. While the summary is {3}, the full report {4} technical details that {5} careful reading and {6}.

Fill {1}:","[""plans"",""planning"",""planned"",""plan""]",0,plans,Use context to choose the best fit.,mixed,1,0,
8,cloze-test,mcq,"Cloze Passage:
The committee {1} to publish its findings after all data {2}. While the summary is {3}, the full report {4} technical details that {5} careful reading and {6}.

Fill {2}:","[""arrive"",""arriving"",""arrived"",""arrives""]",3,arrives,Use context to choose the best fit.,mixed,1,0,
9,cloze-test,mcq,"Cloze Passage:
The committee {1} to publish its findings after all data {2}. While the summary is {3}, the full report {4} technical details that {5} careful reading and {6}.

Fill {3}:","[""accessing"",""accessed"",""access"",""accessible""]",3,accessible,Use context to choose the best fit.,mixed,1,0,
10,cloze-test,mcq,"Cloze Passage:
The committee {1} to publish its findings after all data {2}. While the summary is {3}, the full report {4} technical details that {5} careful reading and {6}.

Fill {4}:","[""containing"",""contain"",""contained"",""contains""]",3,contains,Use context to choose the best fit.,mixed,1,0,
11,cloze-test,mcq,"Cloze Passage:
The committee {1} to publish its findings after all data {2}. While the summary is {3}, the full report {4} technical details that {5} careful reading and {6}.

Fill {5}:","[""required"",""requiring"",""require"",""requires""]",2,require,Use context to choose the best fit.,mixed,1,0,
12,cloze-test,mcq,"Cloze Passage:
The committee {1} to publish its findings after all data {2}. While the summary is {3}, the full report {4} technical details that {5} careful reading and {6}.

Fill {6}:","[""reviewing"",""review"",""reviews"",""reviewed""]",1,review,Use context to choose the best fit.,mixed,1,0,
13,fill-blanks,mcq,He is known _____ his honesty.,"[""to"",""by"",""for"",""with""]",2,for,The correct preposition/conjunction is “for”.,mixed,1,0,
14,fill-blanks,mcq,He is allergic _____ peanuts.,"[""at"",""with"",""for"",""to""]",3,to,The correct preposition/conjunction is “to”.,mixed,1,0,
15,vocabulary,mcq,Choose the synonym of “impartial”.,"[""neutral"",""boisterous"",""obsolete"",""cumbersome""]",0,neutral,“neutral” means nearly the same as “impartial”.,mixed,1,0,
16,vocabulary,mcq,Choose the synonym of “candid”.,"[""frank"",""infrequent"",""trivial"",""colorful""]",0,frank,“frank” means nearly the same as “candid”.,mixed,1,0,
17,vocabulary,mcq,Choose the synonym of “arduous”.,"[""meagre"",""massive"",""trivial"",""difficult""]",3,difficult,“difficult” means nearly the same as “arduous”.,mixed,1,0,
18,vocabulary,mcq,Choose the synonym of “concise”.,"[""luminous"",""trivial"",""elusive"",""brief""]",3,brief,“brief” means nearly the same as “concise”.,mixed,1,0,
19,vocabulary,mcq,Choose the synonym of “arduous”.,"[""docile"",""luminous"",""difficult"",""colorful""]",2,difficult,“difficult” means nearly the same as “arduous”.,mixed,1,0,
20,vocabulary,mcq,Choose the synonym of “impartial”.,"[""neutral"",""boisterous"",""swift"",""coarse""]",0,neutral,“neutral” means nearly the same as “impartial”.,mixed,1,0,
21,vocabulary,mcq,Choose the antonym of “meticulous”.,"[""meagre"",""cumbersome"",""careless"",""coarse""]",2,careless,“careless” is the opposite of “meticulous”.,mixed,1,0,
22,vocabulary,mcq,Choose the antonym of “arduous”.,"[""sturdy"",""easy"",""swift"",""meagre""]",1,easy,“easy” is the opposite of “arduous”.,mixed,1,0,
23,vocabulary,mcq,Choose the antonym of “benevolent”.,"[""brisk"",""vague"",""malicious"",""massive""]",2,malicious,“malicious” is the opposite of “benevolent”.,mixed,1,0,
24,vocabulary,mcq,Choose the antonym of “meticulous”.,"[""vague"",""careless"",""luminous"",""colorful""]",1,careless,“careless” is the opposite of “meticulous”.,mixed,1,0,
25,one-word,mcq,One-word substitute: A handwriting expert,"[""Cannibal"",""Graphologist"",""Loquacious"",""Panacea""]",1,Graphologist,Graphologist fits the description.,mixed,1,0,
26,one-word,mcq,One-word substitute: One who studies ancient things,"[""Archaeologist"",""Impromptu"",""Loquacious"",""Graphologist""]",0,Archaeologist,Archaeologist fits the description.,mixed,1,0,
27,idioms,mcq,Meaning of the idiom: “Break the ice”,"[""Make people feel more comfortable"",""Face a difficult situation"",""Very expensive"",""Avoid the main topic""]",0,Make people feel more comfortable,“Break the ice” means “Make people feel more comfortable”.,mixed,1,0,
28,idioms,mcq,Meaning of the idiom: “Hit the sack”,"[""Stop working on something"",""Go to sleep"",""Reveal a secret"",""Face a difficult situation""]",1,Go to sleep,“Hit the sack” means “Go to sleep”.,mixed,1,0,
29,grammar,mcq,They _____ the project next week.,"[""start"",""will start"",""started"",""starts""]",1,will start,Correct tense is “will start”.,mixed,1,0,
30,grammar,mcq,We _____ dinner when he arrived.,"[""were going"",""had gone"",""have gone"",""are going""]",0,were going,Correct tense is “were going”.,mixed,1,0,
31,grammar,mcq,They _____ the task by 6 PM yesterday.,"[""do"",""doing"",""does"",""did""]",3,did,Correct tense is “did”.,mixed,1,0,
32,grammar,mcq,They _____ the task by 6 PM yesterday.,"[""arriving"",""arrives"",""arrived"",""arrive""]",2,arrived,Correct tense is “arrived”.,mixed,1,0,
