id,topic_slug,type,text,options_json,correct_index,answer,explanation,difficulty,marks,negative_marks,tags
1,rc,mcq,"Passage:
A small library launched a 'take-a-book, leave-a-book' shelf. Over time, readers curated the shelf with diverse titles, and the habit built a friendly ritual around sharing stories.

Q: The shelf policy was:","[""Paid borrowing"",""Members-only"",""Take & leave"",""No returns""]",2,Take & leave,Answer follows directly from the passage.,mixed,1,0,
2,rc,mcq,"Passage:
A small library launched a 'take-a-book, leave-a-book' shelf. Over time, readers curated the shelf with diverse titles, and the habit built a friendly ritual around sharing stories.

Q: Result of the initiative?","[""Less diversity"",""Fewer visits"",""Hostile debates"",""Friendly ritual""]",3,Friendly ritual,Answer follows directly from the passage.,mixed,1,0,
3,rc,mcq,"Passage:
A small library launched a 'take-a-book, leave-a-book' shelf. Over time, readers curated the shelf with diverse titles, and the habit built a friendly ritual around sharing stories.

Q: Who curated the shelf?","[""Publishers"",""Librarians only"",""Readers"",""Sponsors""]",2,Readers,Answer follows directly from the passage.,mixed,1,0,
4,rc,mcq,"Passage:
The city introduced a weekly car-free hour on major roads to encourage walking and cycling. Local shops reported higher footfall, while residents noted clearer air and a calmer soundscape.

Q: Primary purpose of the measure?","[""Reduce noise"",""Encourage active travel"",""Lower taxes"",""Increase tourism""]",1,Encourage active travel,Answer follows directly from the passage.,mixed,1,0,
5,rc,mcq,"Passage:
The city introduced a weekly car-free hour on major roads to encourage walking and cycling. Local shops reported higher footfall, while residents noted clearer air and a calmer soundscape.

Q: Immediate effect on shops?","[""Lower sales"",""No change"",""Higher footfall"",""Closed early""]",2,Higher footfall,Answer follows directly from the passage.,mixed,1,0,
6,rc,mcq,"Passage:
The city introduced a weekly car-free hour on major roads to encourage walking and cycling. Local shops reported higher footfall, while residents noted clearer air and a calmer soundscape.

Q: Residents mainly noticed:","[""More traffic"",""Clearer air"",""Longer commutes"",""Heavier rainfall""]",1,Clearer air,Answer follows directly from the passage.,mixed,1,0,
7,cloze-test,mcq,"Cloze Passage:
When teams {1} goals early, they {2} momentum. Regular check-ins {3} issues quickly, {4} delays. Clear roles {5} confusion and {6} ownership across members.

Fill {1}:","[""settle"",""set"",""sets"",""setting""]",1,set,Use context to choose the best fit.,mixed,1,0,
8,cloze-test,mcq,"Cloze Passage:
When teams {1} goals early, they {2} momentum. Regular check-ins {3} issues quickly, {4} delays. Clear roles {5} confusion and {6} ownership across members.

Fill {2}:","[""build"",""building"",""builds"",""built""]",0,build,Use context to choose the best fit.,mixed,1,0,
9,cloze-test,mcq,"Cloze Passage:
When teams {1} goals early, they {2} momentum. Regular check-ins {3} issues quickly, {4} delays. Clear roles {5} confusion and {6} ownership across members.

Fill {3}:","[""surface"",""surfaces"",""surfaced"",""surfacing""]",0,surface,Use context to choose the best fit.,mixed,1,0,
10,cloze-test,mcq,"Cloze Passage:
When teams {1} goals early, they {2} momentum. Regular check-ins {3} issues quickly, {4} delays. Clear roles {5} confusion and {6} ownership across members.

Fill {4}:","[""reduce"",""reduced"",""reducing"",""reduces""]",2,reducing,Use context to choose the best fit.,mixed,1,0,
11,cloze-test,mcq,"Cloze Passage:
When teams {1} goals early, they {2} momentum. Regular check-ins {3} issues quickly, {4} delays. Clear roles {5} confusion and {6} ownership across members.

Fill {5}:","[""reduces"",""reducing"",""reduce"",""reduced""]",2,reduce,Use context to choose the best fit.,mixed,1,0,
12,cloze-test,mcq,"Cloze Passage:
When teams {1} goals early, they {2} momentum. Regular check-ins {3} issues quickly, {4} delays. Clear roles {5} confusion and {6} ownership across members.

Fill {6}:","[""increases"",""increase"",""increased"",""increasing""]",1,increase,Use context to choose the best fit.,mixed,1,0,
13,fill-blanks,mcq,She is good _____ mathematics.,"[""in"",""with"",""for"",""at""]",3,at,The correct preposition/conjunction is “at”.,mixed,1,0,
14,fill-blanks,mcq,The train arrives _____ 7 a.m.,"[""at"",""on"",""by"",""in""]",0,at,The correct preposition/conjunction is “at”.,mixed,1,0,
15,vocabulary,mcq,Choose the synonym of “abundant”.,"[""tedious"",""docile"",""plentiful"",""elusive""]",2,plentiful,“plentiful” means nearly the same as “abundant”.,mixed,1,0,
