id,topic_slug,type,text,options_json,correct_index,answer,explanation,difficulty,marks,negative_marks,tags
1,rc,mcq,"Passage:
A coastal town mapped its flood-prone lanes and installed raised walkways for the rainy season. The plan kept markets open and allowed emergency services to navigate safely.

Q: Why raised walkways?","[""Decoration"",""Festival"",""Rainy-season access"",""Tourism""]",2,Rainy-season access,Answer follows directly from the passage.,mixed,1,0,
2,rc,mcq,"Passage:
A coastal town mapped its flood-prone lanes and installed raised walkways for the rainy season. The plan kept markets open and allowed emergency services to navigate safely.

Q: Markets:","[""Closed often"",""Stayed open"",""Moved inland"",""Were demolished""]",1,Stayed open,Answer follows directly from the passage.,mixed,1,0,
3,rc,mcq,"Passage:
A coastal town mapped its flood-prone lanes and installed raised walkways for the rainy season. The plan kept markets open and allowed emergency services to navigate safely.

Q: Emergency services could:","[""Avoid the town"",""Navigate safely"",""Only use boats"",""Do nothing""]",1,Navigate safely,Answer follows directly from the passage.,mixed,1,0,
4,rc,mcq,"Passage:
The city introduced a weekly car-free hour on major roads to encourage walking and cycling. Local shops reported higher footfall, while residents noted clearer air and a calmer soundscape.

Q: Primary purpose of the measure?","[""Reduce noise"",""Encourage active travel"",""Lower taxes"",""Increase tourism""]",1,Encourage active travel,Answer follows directly from the passage.,mixed,1,0,
5,rc,mcq,"Passage:
The city introduced a weekly car-free hour on major roads to encourage walking and cycling. Local shops reported higher footfall, while residents noted clearer air and a calmer soundscape.

Q: Immediate effect on shops?","[""Lower sales"",""No change"",""Higher footfall"",""Closed early""]",2,Higher footfall,Answer follows directly from the passage.,mixed,1,0,
6,rc,mcq,"Passage:
The city introduced a weekly car-free hour on major roads to encourage walking and cycling. Local shops reported higher footfall, while residents noted clearer air and a calmer soundscape.

Q: Residents mainly noticed:","[""More traffic"",""Clearer air"",""Longer commutes"",""Heavier rainfall""]",1,Clearer air,Answer follows directly from the passage.,mixed,1,0,
7,cloze-test,mcq,"Cloze Passage:
Good writing {1} from clear thinking. When ideas are {2}, sentences become {3} and the message {4}. With practice, writers {5} their craft and {6} their audience with clarity and {7}.

Fill {1}:","[""flows"",""fly"",""flown"",""flew""]",0,flows,Use context to choose the best fit.,mixed,1,0,
8,cloze-test,mcq,"Cloze Passage:
Good writing {1} from clear thinking. When ideas are {2}, sentences become {3} and the message {4}. With practice, writers {5} their craft and {6} their audience with clarity and {7}.

Fill {2}:","[""orders"",""ordering"",""ordered"",""order""]",2,ordered,Use context to choose the best fit.,mixed,1,0,
9,cloze-test,mcq,"Cloze Passage:
Good writing {1} from clear thinking. When ideas are {2}, sentences become {3} and the message {4}. With practice, writers {5} their craft and {6} their audience with clarity and {7}.

Fill {3}:","[""precis"",""precision"",""precise"",""precisely""]",2,precise,Use context to choose the best fit.,mixed,1,0,
10,cloze-test,mcq,"Cloze Passage:
Good writing {1} from clear thinking. When ideas are {2}, sentences become {3} and the message {4}. With practice, writers {5} their craft and {6} their audience with clarity and {7}.

Fill {4}:","[""landing"",""lands on"",""lands"",""lend""]",2,lands,Use context to choose the best fit.,mixed,1,0,
11,cloze-test,mcq,"Cloze Passage:
Good writing {1} from clear thinking. When ideas are {2}, sentences become {3} and the message {4}. With practice, writers {5} their craft and {6} their audience with clarity and {7}.

Fill {5}:","[""hone"",""hone in"",""hone up"",""honed""]",0,hone,Use context to choose the best fit.,mixed,1,0,
12,cloze-test,mcq,"Cloze Passage:
Good writing {1} from clear thinking. When ideas are {2}, sentences become {3} and the message {4}. With practice, writers {5} their craft and {6} their audience with clarity and {7}.

Fill {6}:","[""serves"",""serve"",""service"",""served""]",1,serve,Use context to choose the best fit.,mixed,1,0,
13,cloze-test,mcq,"Cloze Passage:
Good writing {1} from clear thinking. When ideas are {2}, sentences become {3} and the message {4}. With practice, writers {5} their craft and {6} their audience with clarity and {7}.

Fill {7}:","[""effect"",""affect"",""effective"",""effects""]",0,effect,Use context to choose the best fit.,mixed,1,0,
14,fill-blanks,mcq,The train arrives _____ 7 a.m.,"[""on"",""in"",""at"",""by""]",2,at,The correct preposition/conjunction is “at”.,mixed,1,0,
15,vocabulary,mcq,Choose the synonym of “amiable”.,"[""meagre"",""ardent"",""harsh"",""friendly""]",3,friendly,“friendly” means nearly the same as “amiable”.,mixed,1,0,
16,vocabulary,mcq,Choose the synonym of “tranquil”.,"[""meagre"",""trivial"",""cumbersome"",""calm""]",3,calm,“calm” means nearly the same as “tranquil”.,mixed,1,0,
17,vocabulary,mcq,Choose the synonym of “frugal”.,"[""meagre"",""thrifty"",""luminous"",""docile""]",1,thrifty,“thrifty” means nearly the same as “frugal”.,mixed,1,0,
18,vocabulary,mcq,Choose the synonym of “concise”.,"[""infrequent"",""brief"",""sturdy"",""meagre""]",1,brief,“brief” means nearly the same as “concise”.,mixed,1,0,
19,vocabulary,mcq,Choose the synonym of “diligent”.,"[""ardent"",""obsolete"",""brisk"",""hardworking""]",3,hardworking,“hardworking” means nearly the same as “diligent”.,mixed,1,0,
20,vocabulary,mcq,Choose the synonym of “benevolent”.,"[""harsh"",""colorful"",""kind"",""cumbersome""]",2,kind,“kind” means nearly the same as “benevolent”.,mixed,1,0,
21,vocabulary,mcq,Choose the antonym of “meticulous”.,"[""peculiar"",""careless"",""brisk"",""docile""]",1,careless,“careless” is the opposite of “meticulous”.,mixed,1,0,
22,vocabulary,mcq,Choose the antonym of “eloquent”.,"[""obsolete"",""inarticulate"",""peculiar"",""colorful""]",1,inarticulate,“inarticulate” is the opposite of “eloquent”.,mixed,1,0,
23,vocabulary,mcq,Choose the antonym of “impartial”.,"[""cumbersome"",""massive"",""biased"",""obsolete""]",2,biased,“biased” is the opposite of “impartial”.,mixed,1,0,
24,vocabulary,mcq,Choose the antonym of “candid”.,"[""swift"",""brisk"",""harsh"",""evasive""]",3,evasive,“evasive” is the opposite of “candid”.,mixed,1,0,
25,one-word,mcq,One-word substitute: A speech delivered without preparation,"[""Hedonist"",""Impromptu"",""Oligarchy"",""Bibliophile""]",1,Impromptu,Impromptu fits the description.,mixed,1,0,
26,one-word,mcq,One-word substitute: A handwriting expert,"[""Oligarchy"",""Panacea"",""Impromptu"",""Graphologist""]",3,Graphologist,Graphologist fits the description.,mixed,1,0,
27,idioms,mcq,Meaning of the idiom: “Break the ice”,"[""Go to sleep"",""Undecided"",""Stop working on something"",""Make people feel more comfortable""]",3,Make people feel more comfortable,“Break the ice” means “Make people feel more comfortable”.,mixed,1,0,
28,idioms,mcq,Meaning of the idiom: “Spill the beans”,"[""Undecided"",""Reveal a secret"",""Face a difficult situation"",""Very expensive""]",1,Reveal a secret,“Spill the beans” means “Reveal a secret”.,mixed,1,0,
29,grammar,mcq,She _____ the project next week.,"[""start"",""starts"",""will start"",""started""]",2,will start,Correct tense is “will start”.,mixed,1,0,
30,grammar,mcq,We _____ to the market every Sunday.,"[""reviewing"",""reviewed"",""review""]",2,review,Correct tense is “review”.,mixed,1,0,
